	protein	gene
BSU07850	General stress protein 18 (GSP18) (EC 3.2.-.-)	yfkM BSU07850
BSU07860	Uncharacterized MFS-type transporter YfkL	yfkL BSU07860
BSU07870	UPF0435 protein YfkK	yfkK BSU07870
BSU07880	Low molecular weight protein-tyrosine-phosphatase YfkJ (LMPTP) (EC 3.1.3.48)	yfkJ BSU07880
BSU07890	Uncharacterized protein YfkI	yfkI BSU07890
BSU07900	Putative ribonuclease-like protein YfkH	yfkH BSU07900
BSU07910	Uncharacterized MFS-type transporter YfkF	yfkF BSU07910
BSU07920	Ca(2+)/H(+) antiporter ChaA	chaA yfkE BSU07920
BSU07930	Uncharacterized protein YfkD	yfkD BSU07930
BSU07940	Uncharacterized MscS family protein YfkC	yfkC BSU07940
BSU07955	Putative protein YfkA	yfkA ykfB BSU07955 BSU07950 BSU07960
BSU07970	Uncharacterized protein YfjT	yfjT BSU07970
BSU07980	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-)	pdaA yfjS BSU07980
BSU07990	Uncharacterized oxidoreductase YfjR (EC 1.1.-.-)	yfjR BSU07990
BSU08000	Putative metal ion transporter YfjQ	yfjQ BSU08000
BSU08010	Putative DNA-3-methyladenine glycosylase YfjP (EC 3.2.2.21)	yfjP BSU08010
BSU08020	Uncharacterized RNA methyltransferase YfjO (EC 2.1.1.-)	yfjO BSU08020
BSU08029	Uncharacterized membrane protein YfzA	yfzA BSU08029
BSU08030	Probable tRNA-dihydrouridine synthase 2 (EC 1.3.1.-)	dus2 yfjN BSU08030
BSU08040	Uncharacterized protein YfjM	yfjM BSU08040
BSU08050	Uncharacterized protein YfjL (PSPB19')	yfjL yztA BSU08050
BSU08060	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha (Acetoin:DCPIP oxidoreductase-alpha) (Ao:DCPIP OR) (EC 1.1.1.-) (TPP-dependent acetoin dehydrogenase E1 subunit alpha)	acoA yfjK BSU08060
BSU08070	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta (Acetoin:DCPIP oxidoreductase-beta) (Ao:DCPIP OR) (EC 1.1.1.-) (TPP-dependent acetoin dehydrogenase E1 subunit beta)	acoB yfjJ BSU08070
BSU08080	Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system (EC 2.3.1.12) (Acetoin dehydrogenase E2 component) (Dihydrolipoamide acetyltransferase component of acetoin cleaving system)	acoC yfjI BSU08080
BSU08090	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of acetoin cleaving system)	acoL yfjH BSU08090
BSU08100	Acetoin dehydrogenase operon transcriptional activator AcoR	acoR yfjG yzcB BSU08100
BSU08110	Small, acid-soluble spore protein H (SASP H)	sspH yfjU BSU08110
BSU08120	UPF0060 membrane protein YfjF	yfjF BSU08120
BSU08130	Uncharacterized protein YfjE	yfjE BSU08130
BSU08140	Uncharacterized lipoprotein YfjD	yfjD BSU08140
BSU08150	Uncharacterized protein YfjC	yfjC BSU08150
BSU08160	Uncharacterized protein YfjB	yfjB BSU08160
BSU08170	Uncharacterized protein YfjA	yfjA BSU08170
BSU08180	Maltose-6'-phosphate glucosidase (EC 3.2.1.122) (6-phospho-alpha-D-glucosidase) (6-phosphoryl-O-alpha-D-glucopyranosyl:phosphoglucohydrolase)	glvA glv-1 glvG malA BSU08180
BSU08190	HTH-type transcriptional regulator GlvR (Glv operon regulatory protein)	glvR yfiA BSU08190
BSU08200	PTS system maltose-specific EIICB component [Includes: Maltose permease IIC component (PTS system maltose-specific EIIC component); Maltose-specific phosphotransferase enzyme IIB component (EC 2.7.1.208) (PTS system maltose-specific EIIB component)]	malP glv-2 glvC glvCB yfiB BSU08200
BSU08210	Uncharacterized ABC transporter ATP-binding protein YfiB	yfiB BSU08210
BSU08220	Uncharacterized ABC transporter ATP-binding protein YfiC	yfiC BSU08220
BSU08230	Putative oxidoreductase CatD (EC 1.-.-.-)	catD yfiD BSU08230
BSU08240	Catechol-2,3-dioxygenase (EC 1.13.11.2) (Catechol-induced ring cleavage extradiol dioxygenase)	catE yfiE BSU08240
BSU08250	Uncharacterized HTH-type transcriptional regulator YfiF	yfiF BSU08250
BSU08260	Putative metabolite transport protein YfiG	yfiG BSU08260
BSU08270	Uncharacterized protein YfiH	yfiH BSU08270
BSU08280	Uncharacterized oxidoreductase YfiI (EC 1.-.-.-)	yfiI BSU08280
BSU08290	Sensor histidine kinase LnrJ (EC 2.7.13.3)	lnrJ linJ yfiJ BSU08290
BSU08300	Transcriptional regulatory protein LnrK	lnrK linK yfiK BSU08300
BSU08310	Linearmycin resistance ATP-binding protein LnrL (EC 7.6.2.-)	lnrL bifL yfiL BSU08310
BSU08320	Linearmycin resistance permease protein LnrM	lnrM bifM yfiM BSU08320
BSU08330	Linearmycin resistance permease protein LnrN	lnrN bifN yfiN BSU08330
BSU08340	Negative transcription regulator PadR	padR yfiO BSU08340
BSU08350	Extracellular esterase EstB (EC 3.1.1.3) (Extracellular esterase LipB) (Lipase B) (Triacylglycerol lipase)	estB lipB yfiP BSU08350
BSU08360	Putative membrane-bound acyltransferase YfiQ (EC 2.3.-.-)	yfiQ BSU08360
BSU08370	Uncharacterized HTH-type transcriptional regulator YfiR	yfiR BSU08370
BSU08380	Uncharacterized MFS-type transporter YfiS	yfiS BSU08380
BSU08390	Putative metal-dependent hydrolase YfiT (EC 3.-.-.-)	yfiT BSU08390
BSU08400	Uncharacterized MFS-type transporter YfiU	yfiU BSU08400
BSU08410	Uncharacterized HTH-type transcriptional regulator YfiV	yfiV BSU08410
BSU08425	Phosphatidylglycerol lysyltransferase (EC 2.3.2.3) (Lysylphosphatidylglycerol synthase) (LPG synthase)	mprF yfiW yfiX BSU08425 BSU08420 BSU08430
BSU08440	Probable siderophore-binding lipoprotein YfiY	yfiY BSU08440
BSU08450	Probable siderophore transport system permease protein YfiZ	yfiZ BSU08450
BSU08460	Probable siderophore transport system permease protein YfhA	yfhA BSU08460
BSU08470	Uncharacterized isomerase YfhB (EC 5.1.-.-)	yfhB BSU08470
BSU08480	Putative NAD(P)H nitroreductase YfhC (EC 1.-.-.-)	yfhC BSU08480
BSU08490	Uncharacterized protein YfhD	yfhD BSU08490
BSU08500	Uncharacterized protein YfhE	yfhE BSU08500
BSU08510	Epimerase family protein YfhF	yfhF BSU08510
BSU08520	Regulatory protein RecX	recX yfhG BSU08520
BSU08530	Uncharacterized protein YfhH	yfhH BSU08530
BSU08540	Uncharacterized MFS-type transporter YfhI	yfhI BSU08540
BSU08550	Small, acid-soluble spore protein K (SASP K)	sspK BSU08550
BSU08560	Uncharacterized protein YfhJ	yfhJ BSU08560
BSU08570	Uncharacterized protein YfhK	yfhK BSU08570
BSU08580	Uncharacterized protein YfhL	yfhL BSU08580
BSU08590	AB hydrolase superfamily protein YfhM (EC 3.-.-.-)	yfhM BSU08590
BSU08600	Putative glycosyltransferase CsbB (EC 2.4.-.-)	csbB yfhN BSU08600
BSU08610	Uncharacterized protein YfhO	yfhO BSU08610
BSU08620	Uncharacterized protein YfhP	yfhP BSU08620
BSU08630	Adenine DNA glycosylase (EC 3.2.2.31)	mutY yfhQ BSU08630
BSU08640	Uncharacterized protein YfhS	yfhS BSU08640
BSU08650	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL (ENR) (EC 1.3.1.104) (Enoyl-acyl carrier protein reductase III) (NADPH-dependent enoyl-ACP reductase)	fabL yfhR ygaA BSU08650
BSU08660	Small, acid-soluble spore protein gamma-type (SASP)	sspE BSU08660
BSU08670	Uncharacterized protein YgaB	ygaB BSU08670
BSU08680	UPF0374 protein YgaC	ygaC BSU08680
BSU08690	Putative multidrug export ATP-binding/permease protein YgaD (EC 7.6.2.-)	ygaD BSU08690
BSU08700	UPF0421 protein YgaE	ygaE BSU08700
BSU08710	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	gsaB BSU08710
BSU08720	Peroxiredoxin Bcp (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Bcp)	ygaF bcp BSU08720
BSU08730	Peroxide operon regulator	perR ygaG BSU08730
BSU08740	UPF0295 protein YgzB	ygzB BSU08740
BSU08750	Uncharacterized protein YgxA	ygxA BSU08750
BSU08760	Sporulation-control protein spo0M (Stage 0 sporulation protein M)	spo0M ygaI BSU08760
BSU08770	Uncharacterized protein YgzA	ygzA BSU08770
BSU08779	Spore coat protein F-like protein YgzC	ygzC BSU08779
BSU08780	Uncharacterized peptidase YgaJ (EC 3.4.21.-)	ygaJ BSU08780
BSU08790	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC thiA BSU08790
BSU08800	Uncharacterized FAD-linked oxidoreductase YgaK (EC 1.-.-.-)	ygaK BSU08800
BSU08810	Transcriptional regulatory protein SenS	senS BSU08810
BSU08820	Vegetative catalase (EC 1.11.1.6)	katA kat kat-19 BSU08820
BSU08830	Aliphatic sulfonates import ATP-binding protein SsuB (EC 7.6.2.14)	ssuB ycbE ygaL BSU08830
BSU08840	Putative aliphatic sulfonates-binding protein	ssuA ygbA yzeA BSU08840
BSU08850	Putative aliphatic sulfonates transport permease protein SsuC	ssuC ygaM yzeB BSU08850
BSU08860	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase)	ssuD ygcA yzeC BSU08860
BSU08870	Uncharacterized protein YgaN	ygaN BSU08870
BSU08880	Alternate 30S ribosomal protein S14	rpsN2 rpsNB yhzA BSU08880
BSU08890	Uncharacterized lipoprotein YgaO	ygaO BSU08890
BSU08899	Uncharacterized HTH-type transcriptional regulator YgzD	ygzD BSU08899
BSU08900	Uncharacterized protein YhzB	yhzB BSU08900
BSU08910	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	queG ygaP yhbA BSU08910
BSU08920	Uncharacterized protein YhbB	yhbB ygaQ BSU08920
BSU08930	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase CspR)	cspR ygaR BSU08930
BSU08940	Uncharacterized protein YhbD	yhbD ygaS BSU08940
BSU08950	Uncharacterized protein YhbE (ORF1)	yhbE ygaT yzdA BSU08950
BSU08960	Uncharacterized protein YhbF	yhbF yzdB BSU08960
BSU08970	Protein PrkA	prkA BSU08970
BSU08980	Stress response UPF0229 protein YhbH	yhbH yzdC BSU08980
BSU08990	Uncharacterized HTH-type transcriptional regulator YhbI	yhbI BSU08990
BSU09000	Putative efflux system component YhbJ	yhbJ BSU09000
BSU09010	Uncharacterized MFS-type transporter YhcA	yhcA BSU09010
BSU09020	Uncharacterized protein YhcB	yhcB BSU09020
BSU09030	Uncharacterized protein YhcC	yhcC BSU09030
BSU09040	Uncharacterized protein YhcD	yhcD BSU09040
BSU09050	Uncharacterized protein YhcE	yhcE BSU09050
BSU09060	Uncharacterized HTH-type transcriptional regulator YhcF	yhcF BSU09060
BSU09070	Uncharacterized ABC transporter ATP-binding protein YhcG	yhcG BSU09070
BSU09080	Uncharacterized ABC transporter ATP-binding protein YhcH	yhcH BSU09080
BSU09090	Uncharacterized protein YhcI	yhcI BSU09090
BSU09100	Cold shock protein CspB (Major cold shock protein)	cspB cspA BSU09100
BSU09110	Uncharacterized lipoprotein YhcJ	yhcJ BSU09110
BSU09120	Uncharacterized protein YhcK	yhcK BSU09120
BSU09130	L-cystine uptake protein TcyP (Symporter YhcL) (Transporter of cystine TcyP)	tcyP yhcL BSU09130
BSU09140	Uncharacterized protein YhcM	yhcM BSU09140
BSU09150	Probable spore germination lipoprotein YhcN	yhcN BSU09150
BSU09165	Uncharacterized protein YhcO	yhcO BSU09165 BSU09160/BSU09170
BSU09180	Spore coat protein F-like protein YhcQ	yhcQ BSU09180
BSU09190	Endonuclease YhcR (EC 3.1.31.-)	yhcR BSU09190
BSU09200	Sortase D (EC 3.4.22.-)	srtD srtA yhcS BSU09200
BSU09210	Uncharacterized RNA pseudouridine synthase YhcT (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	yhcT BSU09210
BSU09220	Uncharacterized protein YhcU	yhcU BSU09220
BSU09230	CBS domain-containing protein YhcV	yhcV BSU09230
BSU09240	Putative phosphatase YhcW (EC 3.1.3.-)	yhcW BSU09240
BSU09250	Hydrolase YhcX (EC 3.5.-.-)	yhcX BSU09250
BSU09259	NA	NA
BSU09260	Uncharacterized aminotransferase YhxA (EC 2.6.-.-)	yhxA BSU09260
BSU09270	Glycerol uptake operon antiterminator regulatory protein	glpP glpP1 BSU09270
BSU09280	Glycerol uptake facilitator protein	glpF BSU09280
BSU09290	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK BSU09290
BSU09300	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	glpD BSU09300
BSU09310	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Alpha-phosphoglucomutase) (Glucose phosphomutase)	pgcA gtaC gtaE yhxB BSU09310
BSU09320	Sensor histidine kinase YhcY (EC 2.7.13.3)	yhcY BSU09320
BSU09330	Uncharacterized transcriptional regulatory protein YhcZ	yhcZ BSU09330
BSU09340	FMN-dependent NADPH-azoreductase (EC 1.7.-.-) (Azobenzene reductase)	azr yhdA BSU09340
BSU09350	Uncharacterized protein YhdB	yhdB BSU09350
BSU09360	Uncharacterized protein YhdC	yhdC BSU09360
BSU09370	Peptidoglycan endopeptidase LytF (EC 3.4.-.-) (Autolysin LytF) (Cell wall-associated polypeptide CWBP49') (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytF) (Peptidoglycan hydrolase LytF) (Vegetative cell wall hydrolase LytF)	lytF cwlE yhdD BSU09370
BSU09380	HTH-type transcriptional regulator NsrR	nsrR yhdE BSU09380
BSU09390	Uncharacterized protein YgxB (ORF1)	ygxB BSU09390
BSU09400	Stage V sporulation protein R	spoVR BSU09400
BSU09410	Alkaline phosphatase 4 (EC 3.1.3.1) (Alkaline phosphatase IV) (APase IV)	phoA phoAIV BSU09410
BSU09420	Probable peptidoglycan endopeptidase LytE (EC 3.4.-.-) (Cell wall-associated polypeptide CWBP33) (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytE) (Minor autolysin LytE) (Phosphatase-associated protein PapQ) (Vegetative cell wall hydrolase LytE)	lytE cwlF papQ BSU09420
BSU09430	HTH-type transcriptional regulator CitR (Citrate synthase I repressor)	citR BSU09430
BSU09440	Citrate synthase 1 (EC 2.3.3.16) (Citrate synthase I)	citA BSU09440
BSU09450	Uncharacterized oxidoreductase YhdF (EC 1.-.-.-)	yhdF BSU09450
BSU09460	Uncharacterized amino acid permease YhdG	yhdG BSU09460
BSU09470	Uncharacterized sodium-dependent transporter YhdH	yhdH BSU09470
BSU09480	Uncharacterized HTH-type transcriptional regulator YhdI	yhdI BSU09480
BSU09490	Uncharacterized N-acetyltransferase YhdJ	yhdJ BSU09490
BSU09500	Probable anti-sigma-M factor YhdK	yhdK BSU09500
BSU09510	Probable anti-sigma-M factor YhdL	yhdL BSU09510
BSU09520	ECF RNA polymerase sigma factor SigM (ECF sigma factor SigM)	sigM yhdM BSU09520
BSU09530	Aldo-keto reductase YhdN (EC 1.1.1.-) (AKR11B) (General stress protein 69) (GSP69)	yhdN BSU09530
BSU09540	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (1-acyl-G3P acyltransferase) (EC 2.3.1.n4) (Lysophosphatidic acid acyltransferase) (LPAAT) (Phosphatidic acid synthase) (PA synthase)	plsC yhdO BSU09540
BSU09550	UPF0053 protein YhdP	yhdP BSU09550
BSU09560	HTH-type transcriptional regulator CueR	cueR yhdQ BSU09560
BSU09570	Putative aspartate aminotransferase YhdR (AspAT) (EC 2.6.1.1) (Transaminase A)	yhdR BSU09570
BSU09590	UPF0053 protein YhdT	yhdT BSU09590
BSU09600	Putative fluoride ion transporter CrcB 1	crcB1 yhdU BSU09600
BSU09610	Putative fluoride ion transporter CrcB 2	crcB2 yhdV BSU09610
BSU09620	Putative glycerophosphodiester phosphodiesterase YhdW (Glycerophosphoryl diester phosphodiesterase) (EC 3.1.4.46)	yhdW BSU09620
BSU09630	Uncharacterized protein YhdX	yhdX BSU09630
BSU09640	Uncharacterized MscS family protein YhdY	yhdY BSU09640
BSU09650	NAD-dependent protein deacetylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog)	cobB yhdZ BSU09650
BSU09660	Putative polysaccharide deacetylase YheN (EC 3.-.-.-)	yheN BSU09660
BSU09670	D-alanine aminotransferase (EC 2.6.1.21) (D-amino acid aminotransferase) (D-amino acid transaminase) (DAAT) (D-aspartate aminotransferase)	dat yheM BSU09670
BSU09680	Na(+)/H(+) antiporter NhaC (Sodium/hydrogen antiporter) (Sodium/proton antiporter)	nhaC yheL BSU09680
BSU09690	Stress response protein NhaX	nhaX yheK BSU09690
BSU09700	Uncharacterized protein YheJ	yheJ BSU09700
BSU09710	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheI (EC 7.6.2.-)	yheI BSU09710
BSU09720	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheH (EC 7.6.2.-)	yheH BSU09720
BSU09730	Uncharacterized protein YheG	yheG BSU09730
BSU09740	Uncharacterized protein YheF	yheF BSU09740
BSU09750	Small, acid-soluble spore protein B (SASP)	sspB BSU09750
BSU09760	Uncharacterized protein YheE	yheE BSU09760
BSU09770	Endospore coat-associated protein YheD	yheD BSU09770
BSU09780	Endospore coat-associated protein YheC	yheC BSU09780
BSU09790	UPF0754 membrane protein YheB	yheB BSU09790
BSU09800	UPF0342 protein YheA	yheA BSU09800
BSU09810	Uncharacterized protein YhaZ	yhaZ BSU09810
BSU09830	Stress response protein YhaX	yhaX BSU09830
BSU09840	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ (EC 1.3.99.-)	hemZ yhaV yhaW BSU09840
BSU09850	K(+)/H(+) antiporter subunit KhtU	khtU yhaU BSU09850
BSU09860	K(+)/H(+) antiporter subunit KhtT	khtT yhaT BSU09860
BSU09870	K(+)/H(+) antiporter modulator KhtS	khtS yhaS BSU09870
BSU09880	Putative enoyl-CoA hydratase/isomerase YhaR	yhaR BSU09880
BSU09889	Uncharacterized protein YhzD	yhzD BSU09889
BSU09890	Uncharacterized ABC transporter ATP-binding protein YhaQ	yhaQ BSU09890
BSU09900	Uncharacterized protein YhaP	yhaP BSU09900
BSU09910	Uncharacterized metallophosphoesterase YhaO	yhaO BSU09910
BSU09920	Uncharacterized protein YhaN	yhaN BSU09920
BSU09930	3'-5' exoribonuclease YhaM (EC 3.1.-.-)	yhaM BSU09930
BSU09940	Sporulation protein YhaL	yhaL BSU09940
BSU09950	Foldase protein PrsA (EC 5.2.1.8)	prsA BSU09950
BSU09958	Small spore coat assembly protein A	sscA yhzE BSU09958
BSU09959	NA	NA
BSU09965	Uncharacterized membrane protein YhaJ	yhaJ BSU09965 BSU09960/BSU09970
BSU09980	Uncharacterized protein YhaI	yhaI BSU09980
BSU09990	DNA-binding transcriptional repressor ScoC (HTH-type transcriptional regulator Hpr) (Protease production regulatory protein Hpr)	hpr catA scoC BSU09990
BSU10000	Uncharacterized membrane protein YhaH	yhaH BSU10000
BSU10009	Uncharacterized membrane protein YhzF	yhzF BSU10009
BSU10010	Probable tryptophan transport protein	trpP BSU10010
BSU10020	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT) (Vegetative protein 234) (VEG234)	serC yhaF BSU10020
BSU10030	Protein hit	hit yhaE BSU10030
BSU10040	ABC-type transporter ATP-binding protein EcsA	ecsA prsT yhaD BSU10040
BSU10050	Protein EcsB	ecsB prsT yhaC BSU10050
BSU10060	Protein EcsC	ecsC prsT yhaB BSU10060
BSU10070	Putative amidohydrolase YhaA (EC 3.5.1.-)	yhaA BSU10070
BSU10080	Uncharacterized membrane protein YhfA	yhfA BSU10080
BSU10090	Uncharacterized protein YhgB	yhgB yixB BSU10090
BSU10100	Heme-degrading monooxygenase HmoB (EC 1.14.14.18) (Heme oxygenase)	hmoB yhgC yixC BSU10100
BSU10110	Penicillin-binding protein 1F (PBP-1F) (Penicillin-binding protein F) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpF ponA BSU10110
BSU10120	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE BSU10120
BSU10130	Coproporphyrin III ferrochelatase (EC 4.99.1.9) (Water-soluble ferrochelatase)	cpfC hemF hemH BSU10130
BSU10140	Coproporphyrinogen III oxidase (EC 1.3.3.15)	cgoX hemG hemY BSU10140
BSU10150	Uncharacterized HTH-type transcriptional regulator YhgD	yhgD yixD BSU10150
BSU10160	Uncharacterized protein YhgE (ORFB)	yhgE yixE BSU10160
BSU10170	Beta-ketoacyl-[acyl-carrier-protein] synthase III 2 (Beta-ketoacyl-ACP synthase III 2) (KAS III 2) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 2) (3-oxoacyl-[acyl-carrier-protein] synthase III 2) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 2) (bFabH2)	fabHB fabH2 yhfB BSU10170
BSU10180	Uncharacterized membrane protein YhfC	yhfC BSU10180
BSU10200	Putative aminopeptidase YhfE (EC 3.4.11.-)	yhfE BSU10200
BSU10210	Uncharacterized protein YhfF	yhfF BSU10210
BSU10220	Proton/sodium-glutamate symport protein (Glutamate-aspartate carrier protein)	gltT yhfG BSU10220
BSU10230	Uncharacterized protein YhfH	yhfH BSU10230
BSU10240	Probable metallo-hydrolase YhfI (EC 3.-.-.-)	yhfI BSU10240
BSU10250	Lipoate-protein ligase LplJ (EC 6.3.1.20) (Lipoate--protein ligase)	lplJ yhfJ BSU10250
BSU10260	Uncharacterized sugar epimerase YhfK (EC 4.-.-.-)	yhfK BSU10260
BSU10270	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase)	lcfB yhfL BSU10270
BSU10280	Uncharacterized protein YhfM	yhfM BSU10280
BSU10290	Uncharacterized metalloprotease YhfN (EC 3.4.24.-) (PSP23)	yhfN yzoA BSU10290
BSU10300	Subtilisin E (EC 3.4.21.62)	aprE apr aprA sprE BSU10300
BSU10310	Uncharacterized N-acetyltransferase YhfO (EC 2.3.1.-)	yhfO BSU10310
BSU10320	Putative quinone oxidoreductase YhfP (EC 1.6.5.-)	yhfP BSU10320
BSU10330	Putative ABC transporter substrate-binding lipoprotein YhfQ	yhfQ BSU10330
BSU10340	Uncharacterized phosphatase PhoE (EC 3.1.3.-)	phoE yhfR BSU10340
BSU10350	Putative acetyl-CoA C-acetyltransferase YhfS (EC 2.3.1.-)	yhfS BSU10350
BSU10360	Uncharacterized acyl--CoA ligase YhfT (EC 6.2.1.-)	yhfT BSU10360
BSU10370	Probable biotin transporter BioY	bioY yhfU BSU10370
BSU10380	Heme-based aerotactic transducer HemAT	hemAT yhfV BSU10380
BSU10390	Putative Rieske 2Fe-2S iron-sulfur protein YhfW (EC 1.-.-.-)	yhfW BSU10390
BSU10400	Uncharacterized oxidoreductase YhxC (EC 1.-.-.-) (ORFX)	yhxC BSU10400
BSU10410	Uncharacterized protein YhzC	yhzC BSU10410
BSU10420	Competence transcription factor (CTF) (Competence protein K)	comK BSU10420
BSU10430	Uncharacterized oxidoreductase YhxD (EC 1.-.-.-) (ORFY)	yhxD BSU10430
BSU10440	Uncharacterized protein YhjA	yhjA BSU10440
BSU10450	Uncharacterized symporter YhjB	yhjB BSU10450
BSU10460	Uncharacterized membrane protein YhjC	yhjC BSU10460
BSU10470	Uncharacterized protein YhjD	yhjD BSU10470
BSU10480	Uncharacterized membrane protein YhjE	yhjE BSU10480
BSU10490	Signal peptidase I V (SPase I) (EC 3.4.21.89) (Leader peptidase I)	sipV yhjF BSU10490
BSU10500	Uncharacterized aromatic compound monooxygenase YhjG (EC 1.14.13.-)	yhjG BSU10500
BSU10510	Uncharacterized HTH-type transcriptional regulator YhjH	yhjH BSU10510
BSU10520	Glucose/mannose transporter GlcP (Glucose/mannose:H(+) symporter)	glcP glcT1 yhjI BSU10520
BSU10530	Glucose-6-phosphate 3-dehydrogenase (EC 1.1.1.361)	ntdC yhjJ BSU10530
BSU10540	Kanosamine-6-phosphate phosphatase (EC 3.1.3.92)	ntdB yhjK BSU10540
BSU10550	3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)	ntdA yhjL BSU10550
BSU10560	NTD biosynthesis operon regulator NtdR	ntdR yhjM BSU10560
BSU10570	Uncharacterized protein YhjN	yhjN BSU10570
BSU10580	Uncharacterized MFS-type transporter YhjO	yhjO BSU10580
BSU10590	Uncharacterized protein YhjP	yhjP BSU10590
BSU10600	Uncharacterized cysteine-rich protein YhjQ	yhjQ BSU10600
BSU10610	Uncharacterized protein YhjR	yhjR BSU10610
BSU10620	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddB)	addB BSU10620
BSU10630	ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddA)	addA BSU10630
BSU10640	Nuclease SbcCD subunit D	sbcD yixA BSU10640
BSU10650	Nuclease SbcCD subunit C	sbcC yirY BSU10650
BSU10660	Uncharacterized protein YisB	yisB BSU10660
BSU10670	Probable spore germination protein GerPF	gerPF yisC BSU10670
BSU10680	Probable spore germination protein GerPE	gerPE yisD BSU10680
BSU10690	Probable spore germination protein GerPD	gerPD yisE BSU10690
BSU10700	Probable spore germination protein GerPC	gerPC yisF BSU10700
BSU10710	Probable spore germination protein GerPB	gerPB yisG BSU10710
BSU10720	Probable spore germination protein GerPA	gerPA yisH BSU10720
BSU10730	Aspartyl-phosphate phosphatase YisI (EC 3.1.3.-) (Stage 0 sporulation regulatory protein YisI)	yisI BSU10730
BSU10740	Inner spore coat protein H-like protein	yisJ BSU10740
BSU10750	Uncharacterized protein YisK	yisK BSU10750
BSU10760	UPF0344 protein YisL	yisL BSU10760
BSU10770	Cell wall-associated protease (EC 3.4.21.-) [Cleaved into: Cell wall-associated polypeptide CWBP23 (CWBP23); Cell wall-associated polypeptide CWBP52 (CWBP52)]	wprA yisM BSU10770
BSU10780	Uncharacterized protein YisN	yisN yucA BSU10780
BSU10790	Asparagine synthetase [glutamine-hydrolyzing] 3 (EC 6.3.5.4)	asnO yisO yucB BSU10790
BSU10800	Uncharacterized protein YizA	yizA yucC BSU10800
BSU10810	Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)	yisP yucD BSU10810
BSU10820	Uncharacterized transporter YisQ	yisQ yucE BSU10820
BSU10830	Uncharacterized HTH-type transcriptional regulator YisR	yisR yucF yuxC BSU10830
BSU10840	HTH-type transcriptional regulator DegA (Degradation activator)	degA BSU10840
BSU10850	scyllo-inositol 2-dehydrogenase (NAD(+)) (EC 1.1.1.370)	iolX yisS yucG yuxD BSU10850
BSU10860	Uncharacterized protein YisT	yisT yucH BSU10860
BSU10870	Putative amino-acid transporter YisU	yisU BSU10870
