Entry	Protein names	Gene Names
O32222	Copper-sensing transcriptional repressor CsoR (Copper-sensitive operon repressor)	csoR yvgZ BSU33520
O32223	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW (EC 1.1.1.371) (NADP(+)-dependent scyllo-inositol dehydrogenase 1) (NADP(+)-dependent SI dehydrogenase 1)	iolW yvaA BSU33530
O32231	Ribonuclease R (RNase R) (EC 3.1.13.1) (VacB protein homolog)	rnr vacB yvaJ BSU33610
O32241	Immunity protein SdpI	sdpI yvaZ BSU33780
O32271	UDP-glucose 6-dehydrogenase TuaD (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Teichuronic acid biosynthesis protein TuaD)	tuaD yvhD BSU35580
O34310	Pectate lyase C (EC 4.2.2.2) (Pectin lyase) (EC 4.2.2.10)	pelC yvpA BSU34950
O34340	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF yjaY BSU11340
O34351	Cyclo(L-leucyl-L-leucyl) synthase (EC 2.3.2.22) (Cyclodileucine synthase) (Cyclodipeptide synthase) (CDPS)	yvmC BSU35070
O34358	Serine protease Do-like HtrA (EC 3.4.21.107) (HtrA-like serine protease)	htrA ykdA BSU12900
O34385	Manganese-binding lipoprotein MntA	mntA ytgA BSU30770
O34389	NAD-dependent malic enzyme 3 (NAD-ME 3) (EC 1.1.1.38) (Malate dehydrogenase MalS)	malS BSU29880
O34426	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speH speD ytcF BSU29010
O34431	Calcium-transporting ATPase (EC 7.2.2.10) (Calcium pump)	yloB BSU15650
O34453	Nitric oxide synthase oxygenase (EC 1.14.14.47) (NOSoxy-like protein)	nos yflM BSU07630
O34484	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18)	mapB yflG BSU07690
O34508	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	ykfB BSU12980
O34518	Melibiose/raffinose/stachyose import permease protein MelC	melC amyC BSU30290
O34521	PTS system N-acetylglucosamine-specific EIICB component (EIICB-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system N-acetylglucosamine-specific EIIB component)]	nagP BSU07700
O34522	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (BsTrmB) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB ytmQ BSU29900
O34529	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA pfk BSU29190
O34580	ATP-dependent DNA helicase PcrA (EC 3.6.4.12)	pcrA yerF BSU06610
O34594	Cytochrome c-551 (Cytochrome c B) (Cytochrome c551)	cccB BSU35270
O34595	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI ytbJ BSU29580
O34598	Guanine deaminase (GDEase) (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH)	guaD gde BSU13170
O34617	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN yloN BSU15750
O34627	Blue-light photoreceptor (Photoactive flavo-yellow protein) (Phototropin homolog)	pfyP ytvA BSU30340
O34645	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	melA BSU30300
O34659	CdaA regulatory protein CdaR (YbbR-like domain-containing protein YbbR) (c-di-AMP synthase A regulator)	cdaR ybbR BSU01760
O34667	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS ytjB BSU30670
O34706	Melibiose/raffinose/stachyose import permease protein MelD	melD amyD BSU30280
O34739	Serine/threonine exchanger SteT	steT ykbA BSU12860
O34750	Probable ATP-dependent RNA helicase YfmL (EC 3.6.4.13)	yfmL BSU07430
O34753	Probable undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-Phosphate GlcNAc-1-phosphate transferase)	tagO yvhI BSU35530
O34757	Sensor histidine kinase DesK (EC 2.7.13.3)	desK yocF BSU19190
O34790	Heptaprenylglyceryl phosphate synthase (HepGP synthase) (EC 2.5.1.n9) (Glycerol-1-phosphate heptaprenyltransferase)	pcrB yerE BSU06600
O34800	Stage II sporulation protein SB (Antidote protein SpoIISB) (Antitoxin SpoIISB)	spoIISB BSU12820
O34814	Cell division ATP-binding protein FtsE	ftsE BSU35260
O34816	Putative L,D-transpeptidase YkuD (EC 2.-.-.-) (Spore protein YkuD)	ykuD BSU14040
O34824	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM ybbT BSU01770
O34847	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BSU29200
O34853	Stage II sporulation protein SA (Killer protein SpoIISA) (Toxin SpoIISA)	spoIISA ykaC BSU12830
O34885	Type II restriction enzyme BsuMI component YdiS (R.BsuM) (R.BsuMI) (EC 3.1.21.4) (Endonuclease BsuMI component YdiS) (Type-2 restriction enzyme BsuMI component YdiS)	ydiS BSU06100
O34894	Septation ring formation regulator EzrA	ezrA ytwP BSU29610
O34966	High-affinity zinc uptake system binding-protein ZnuA	znuA adcA ycdH BSU02850
O35016	Low molecular weight protein-tyrosine-phosphatase YfkJ (LMPTP) (EC 3.1.3.48)	yfkJ BSU07880
O35022	FMN-dependent NADH:quinone oxidoreductase 1 (EC 1.6.5.-) (Azo-dye reductase 1) (FMN-dependent NADH-azo compound oxidoreductase 1) (FMN-dependent NADH-azoreductase 1) (EC 1.7.1.17)	azoR1 yocJ BSU19230
O35033	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC yloI BSU15700
O54408	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)	relA BSU27600
P00691	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyE amyA BSU03040
P04957	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase)	bglS bgl licS BSU39070 N15B
P05043	Aspartyl-phosphate phosphatase Spo0E (EC 3.1.3.-) (Stage 0 sporulation protein E) (Stage 0 sporulation regulatory protein Spo0E)	spo0E BSU13640
P05645	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB leuC BSU28270
P05648	Chromosomal replication initiator protein DnaA	dnaA dnaH BSU00010
P05651	DNA replication and repair protein RecF	recF BSU00040
P05654	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB BSU15490
P06222	RNA polymerase sigma-E factor (P31) (Sigma-29) (Stage II sporulation protein GB)	sigE spoIIGB BSU15320
P06535	Sporulation initiation phosphotransferase B (EC 2.7.-.-) (Stage 0 sporulation protein B) (Stage 0 sporulation protein D)	spo0B spo0D BSU27930
P06574	RNA polymerase sigma-B factor (General stress protein 84) (GSP84) (Sigma-37)	sigB rpoF BSU04730
P06628	Sporulation initiation phosphotransferase F (EC 2.7.-.-) (Stage 0 sporulation protein F)	spo0F BSU37130
P08065	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA citF BSU28440
P08066	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	sdhB BSU28430
P08750	D-alanyl-D-alanine carboxypeptidase DacA (CPase) (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5) (PBP-5)	dacA BSU00100
P08821	DNA-binding protein HU 1 (DNA-binding protein II) (HB)	hupA dbpA hbs hbsU BSU22790
P08838	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI BSU13910
P08874	Transition state regulatory protein AbrB	abrB cpsX BSU00370
P0CI73	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS gcaA ybxD BSU01780
P0CI75	Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA BSU22440
P0CI78	50S ribosomal protein L24 (12 kDa DNA-binding protein) (BL23) (HPB12)	rplX BSU01270
P0CI79	Thymidylate synthase 1 (TS 1) (TSase 1) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA1 BSU17680
P10726	RNA polymerase sigma-D factor (Sigma-28)	sigD flaB BSU16470
P10727	Anti-sigma F factor antagonist (Stage II sporulation protein AA)	spoIIAA BSU23470
P11044	Thymidylate synthase 2 (TS 2) (TSase 2) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA2 thyB BSU21820
P11065	DNA-binding transcriptional repressor ScoC (HTH-type transcriptional regulator Hpr) (Protease production regulatory protein Hpr)	hpr catA scoC BSU09990
P12049	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)	purS yexA BSU06460
P12464	DNA-directed RNA polymerase subunit delta (RNAP delta factor)	rpoE BSU37160
P12667	DNA-entry nuclease (EC 3.-.-.-) (Competence-specific nuclease)	nucA comI BSU03430
P12878	30S ribosomal protein S14 (30S ribosomal protein S14 type Z) (30S ribosomal protein S14-1) (BS-A)	rpsN1 rpsN rpsNA rpsZ BSU01290
P13243	Probable fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	fbaA fba fba1 tsr BSU37120
P13267	DNA polymerase III PolC-type (PolIII) (EC 2.7.7.7)	polC dnaF mutI BSU16580
P13484	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52) (Major teichoic acid biosynthesis protein E)	tagE gtaA rodD BSU35730
P13714	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh lctE BSU03050
P14192	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU gcaD tms tms-26 BSU00500
P14194	General stress protein CTC (50S ribosomal protein L25)	ctc BSU00520
P15400	Negative regulator of SacY activity (PTS system sac EIIBC component) [Includes: Phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system EIIB component); Permease IIC component (PTS system EIIC component)]	sacX sacS BSU38410 ipa-14r
P16440	Riboflavin synthase (RS) (EC 2.5.1.9) (Heavy riboflavin synthase alpha subunit) (HRS alpha subunit) (Light riboflavin synthase)	ribE ribB BSU23270
P16497	Sporulation kinase A (EC 2.7.13.3) (Stage II sporulation protein F) (Stage II sporulation protein J)	kinA gsiC scoD spoIIF spoIIJ BSU13990
P17620	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]	ribBA ribA BSU23260
P17894	DNA repair protein RecN (Recombination protein N)	recN BSU24240
P17903	Anti-sigma-B factor antagonist (Anti-anti-sigma-B factor)	rsbV BSU04710
P18157	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK BSU09290
P18159	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Alpha-phosphoglucomutase) (Glucose phosphomutase)	pgcA gtaC gtaE yhxB BSU09310
P18185	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB cpaB BSU11240
P18579	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB ylxC BSU15230
P19219	Bifunctional transcriptional activator/DNA repair enzyme AdaA (Methylphosphotriester-DNA methyltransferase) (Methylphosphotriester-DNA--protein-cysteine S-methyltransferase) (EC 2.1.1.n11)	adaA BSU01810
P19220	Methylated-DNA--protein-cysteine methyltransferase, inducible (EC 2.1.1.63) (O-6-methylguanine-DNA alkyltransferase) (O6-methylguanine-DNA methyltransferase) (MGMT)	adaB BSU01820
P19638	Undecaprenol kinase (UdpK) (EC 2.7.1.66)	dgkA dgk yqxF BSU25310
P19669	Transaldolase (EC 2.2.1.2) (20 kDa phosphoprotein OrfU) (CSI9)	tal ywjH BSU37110
P19670	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2 (EC 2.5.1.7) (Enoylpyruvate transferase 2) (UDP-N-acetylglucosamine enolpyruvyl transferase 2) (EPT 2)	murAB murA murZ BSU37100
P19940	RNA polymerase sigma-G factor (Stage III sporulation protein G)	sigG spoIIIG BSU15330
P19994	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M)	map BSU01380
P20429	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA BSU01430
P20668	Transcriptional dual regulator GltC (HTH-type transcriptional regulator GltC)	gltC BSU18460
P21466	30S ribosomal protein S4 (BS4)	rpsD BSU29660
P21467	30S ribosomal protein S5 (BS5)	rpsE spcA BSU01330
P21880	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate complex) (S complex, 50 kDa subunit)	pdhD aceD citL BSU14610
P21881	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1) (S complex, 42 kDa subunit) (Vegetative protein 220) (VEG220)	pdhA aceA BSU14580
P21882	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1) (S complex, 36 kDa subunit)	pdhB aceB BSU14590
P22322	Germination protease (EC 3.4.24.78) (GPR endopeptidase) (Germination proteinase) (Spore protease)	gpr BSU25540
P23445	Flagellum-specific ATP synthase (EC 7.1.2.2)	fliI BSU16240
P23545	Alkaline phosphatase synthesis sensor protein PhoR (EC 2.7.13.3)	phoR BSU29100
P23914	Transcriptional regulatory protein LevR [Includes: Putative phosphotransferase EIIA component (EC 2.7.1.-) (Putative PTS system EIIA component)]	levR BSU27080
P23966	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	menB BSU30800
P24009	Protoheme IX farnesyltransferase 2 (EC 2.5.1.141) (Heme B farnesyltransferase 2) (Heme O synthase 2)	ctaB2 BSU14880
P24072	Chemotaxis protein CheY	cheY cheB BSU16330
P24073	Flagellar motor switch phosphatase FliY (EC 3.-.-.-) (CheY-P phosphatase FliY) (Flagellar motor switch protein FliY)	fliY cheD BSU16320
P24138	Oligopeptide transport system permease protein OppB (Stage 0 sporulation protein KB)	oppB spo0KB BSU11440
P24141	Oligopeptide-binding protein OppA (Stage 0 sporulation protein KA)	oppA spo0KA BSU11430
P24500	Flagellar basal body rod protein FlgB	flgB BSU16180
P25151	Tyrosine--tRNA ligase 2 (EC 6.1.1.1) (Tyrosyl-tRNA synthetase 2) (TyrRS 2)	tyrS2 tyrR tyrS1 tyrT tyrZ BSU38460 ipa-9r
P25503	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU BSU39360 EE57A
P25955	ComG operon protein 3	comGC comG3 BSU24710
P25971	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF BSU15550
P25993	Carbamoyl-phosphate synthase pyrimidine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	pyrAA BSU15510
P25994	Carbamoyl-phosphate synthase pyrimidine-specific large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	pyrAB BSU15520
P26379	PTS system fructose-specific EIIA component (EIIA-Fru) (Fructose-specific phosphotransferase enzyme IIA component) (lev-PTS) (p16)	levD sacL BSU27070
P26901	Vegetative catalase (EC 1.11.1.6)	katA kat kat-19 BSU08820
P26902	D-aminopeptidase (EC 3.4.11.-)	dppA dciAA BSU12920
P26936	Stage IV sporulation protein FA	spoIVFA bofB BSU27980
P26937	Stage IV sporulation protein FB (EC 3.4.24.-)	spoIVFB bofB BSU27970
P27206	Surfactin synthase subunit 1	srfAA srfA srfA1 BSU03480
P27620	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (Major teichoic acid biosynthesis protein A) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	tagA BSU35750
P27876	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi BSU33920
P28264	Cell division protein FtsA	ftsA BSU15280
P28368	Ribosome hibernation promotion factor (HPF) (Hst23) (Putative sigma-54 modulation protein) (SigL modulation protein)	yvyD hpf yviI BSU35310 orf189
P28598	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	groEL groL mopA BSU06030
P28619	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph BSU28370
P30300	Glycerol uptake operon antiterminator regulatory protein	glpP glpP1 BSU09270
P31103	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk BSU22730
P31114	Heptaprenyl diphosphate synthase component 2 (HepPP synthase subunit 2) (EC 2.5.1.30) (Spore germination protein C3)	hepT gerC3 gerCC hepB BSU22740
P32081	Cold shock protein CspB (Major cold shock protein)	cspB cspA BSU09100
P33166	Elongation factor Tu (EF-Tu) (P-40)	tuf tufA BSU01130
P33690	Tryptophan prenyltransferase ComQ (EC 2.5.1.-) (Competence regulatory protein ComQ)	comQ BSU31710
P34956	Quinol oxidase subunit 1 (EC 1.10.3.-) (Oxidase aa(3)-600 subunit 1) (Quinol oxidase aa3-600, subunit QoxB) (Quinol oxidase polypeptide I)	qoxB BSU38160 ipa-38d
P34957	Quinol oxidase subunit 2 (EC 1.10.3.-) (Oxidase aa(3)-600 subunit 2) (Quinol oxidase aa3-600, subunit QoxA) (Quinol oxidase polypeptide II)	qoxA BSU38170 ipa-37d
P35150	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5*) (PBP-5*) (Penicillin-binding protein 5a) (PBP-5a)	dacB BSU23190
P35154	Segregation and condensation protein A	scpA ypuG BSU23220
P35160	Thiol-disulfide oxidoreductase ResA	resA ypxA BSU23150
P35162	Cytochrome c biogenesis protein ResC	resC ypxC BSU23130
P35164	Sensor histidine kinase ResE (EC 2.7.13.3)	resE ypxE BSU23110
P36838	Carbamoyl-phosphate synthase arginine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA cpaA BSU11230
P36843	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ BSU11200
P36946	D-ribose pyranase (EC 5.4.99.62)	rbsD BSU35930
P37251	Acetolactate synthase large subunit (AHAS) (EC 2.2.1.6) (Acetohydroxy-acid synthase large subunit) (ALS) (Vegetative protein 105) (VEG105)	ilvB BSU28310
P37253	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC BSU28290
P37455	Single-stranded DNA-binding protein A (SSB A)	ssbA BSU40900
P37472	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	hprT hpt BSU00680
P37475	Stage II sporulation protein E (EC 3.1.3.16) (Stage II sporulation protein H)	spoIIE spoIIH BSU00640
P37478	Transcriptional regulatory protein WalR	walR yycF BSU40410
P37487	Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppaC BSU40550
P37506	Streptothricin acetyltransferase A (EC 2.3.-.-)	satA yyaR BSU40740
P37531	Cortical fragment-lytic enzyme (CFLE) (EC 3.2.1.-) (Spore germination protein) (Spore peptidoglycan N-acetylglucosaminidase)	sleL yaaH BSU00160
P37554	Stage V sporulation protein T	spoVT yabL BSU00560
P37562	Probable serine/threonine-protein kinase YabT (EC 2.7.11.1)	yabT BSU00660
P37568	Transcriptional regulator CtsR (Class three stress gene repressor)	ctsR yacG BSU00830
P37569	Protein-arginine kinase activator protein	mcsA yacH BSU00840
P37572	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA orf5 sms yacJ BSU00870
P37582	HTH-type transcriptional regulator GlnR	glnR BSU17450
P37599	Chemotaxis protein CheV	cheV BSU14010
P37870	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB crsE rfm BSU01070
P37871	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC lpm std BSU01080
P37873	Stage II sporulation protein M	spoIIM BSU23530
P37877	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA BSU29470
P37878	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine-DNA glycosidase)	alkA BSU01800
P37942	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	bfmBB bfmB bfmB2 BSU24030
P37967	Para-nitrobenzyl esterase (EC 3.1.1.-) (Intracellular esterase B) (PNB carboxy-esterase) (PNBCE)	pnbA estB BSU34390
P38021	Ornithine aminotransferase (OAT) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	rocD BSU40340
P38022	Transcriptional activator RocR (Arginine utilization regulatory protein RocR)	rocR BSU40350
P38049	Heme-degrading monooxygenase HmoB (EC 1.14.14.18) (Heme oxygenase)	hmoB yhgC yixC BSU10100
P38424	Probable GTP-binding protein EngB	engB ysxC BSU28190
P39118	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB BSU30980
P39120	Citrate synthase 2 (EC 2.3.3.16) (Citrate synthase II)	citZ citA2 BSU29140
P39126	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd citC BSU29130
P39130	Alpha-galacturonidase (EC 3.2.1.67)	lplD BSU07130
P39138	Arginase (EC 3.5.3.1)	rocF BSU40320
P39142	Pyrimidine-nucleoside phosphorylase (PYNP) (Py-NPase) (EC 2.4.2.2)	pdp BSU39400
P39145	ComF operon protein 1 (EC 3.6.4.12) (ATP-dependent helicase ComFA)	comFA comF1 BSU35470
P39153	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein YwlC) (tRNA threonylcarbamoyladenosine biosynthesis protein YwlC)	ywlC BSU36950 ipc-29d
P39214	Methyl-accepting chemotaxis protein McpA (H1)	mcpA BSU31240
P39580	Teichoic acid D-alanyltransferase (EC 2.3.1.-)	dltB BSU38510 ipa-4r
P39583	GTP pyrophosphokinase YwaC (EC 2.7.6.5) ((p)ppGpp synthase YwaC) (Small alarmone synthase 2) (SAS 2)	ywaC BSU38480 ipa-7d
P39597	Deferrochelatase (EC 4.98.1.1) (Peroxidase EfeN) (EC 1.11.1.-)	efeN ywbN BSU38260 ipa-29d
P39604	Peptidoglycan glycosyltransferase RodA (PGT) (EC 2.4.1.129) (Cell elongation protein RodA) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase) (Rod shape-determining protein)	rodA ywcF BSU38120 ipa-42d
P39640	Dihydroanticapsin 7-dehydrogenase (EC 1.1.1.385) (Bacilysin biosynthesis oxidoreductase BacC)	bacC ywfD BSU37720 ipa-82d
P39643	Transaminase BacF (EC 2.6.1.-) (Transaminase A)	bacF ywfG BSU37690 ipa-85d
P39645	Coproheme decarboxylase (EC 1.3.98.5) (Coproheme III oxidative decarboxylase) (Hydrogen peroxide-dependent heme synthase) (Iron-coproporphyrin oxidative decarboxylase)	chdC hemQ ywfI BSU37670 ipa-87r
P39751	Cell shape-determining protein Mbl (Actin-like Mbl protein) (Rod shape-determining protein Mbl)	mbl BSU36410
P39757	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA narA narAB BSU36700
P39763	Cell shape-determining protein MreBH (Actin-like MreBH protein) (Rod shape-determining protein MreBH)	mreBH BSU14470
P39764	Sporulation kinase C (EC 2.7.13.3)	kinC mskA ssb BSU14490
P39771	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT BSU02230
P39775	Choline transport system permease protein OpuBD	opuBD proZ BSU33700
