	protein	gene
b1088	Large ribosomal RNA subunit accumulation protein YceD (23S rRNA accumulation protein YceD) (G30K)	yceD g30k b1088 JW1074
b1089	50S ribosomal protein L32 (Large ribosomal subunit protein bL32)	rpmF b1089 JW1075
b1090	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX b1090 JW5156
b1091	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III) (EcFabH)	fabH b1091 JW1077
b1092	Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)	fabD tfpA b1092 JW1078
b1093	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG b1093 JW1079
b1094	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	acpP b1094 JW1080
b1095	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF fabJ b1095 JW1081
b1096	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	pabC b1096 JW1082
b1097	Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase)	mltG yceG b1097 JW1083
b1098	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk ycfG b1098 JW1084
b1099	DNA polymerase III subunit delta' (EC 2.7.7.7)	holB b1099 JW1085
b1100	Uncharacterized metal-dependent hydrolase YcfH (EC 3.1.-.-)	ycfH b1100 JW1086
b1101	PTS system glucose-specific EIICB component (EIICB-Glc) (EII-Glc) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (EC 2.7.1.199) (PTS system glucose-specific EIIB component)]	ptsG glcA umg b1101 JW1087
b1102	FhuE receptor (Outer-membrane receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid)	fhuE b1102 JW1088
b1103	Purine nucleoside phosphoramidase (EC 3.9.1.-) (Histidine triad nucleotide binding protein HinT) (HIT protein)	hinT ycfF b1103 JW1089
b1104	Uncharacterized protein YcfL	ycfL b1104 JW1090
b1105	Penicillin-binding protein activator LpoB (PBP activator LpoB) (Lipoprotein activator of PBP from the outer membrane B)	lpoB ycfM b1105 JW5157
b1106	Thiamine kinase (EC 2.7.1.89)	thiK ycfN b1106 JW1092
b1107	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ ycfO b1107 JW1093
b1108	UPF0227 protein YcfP	ycfP b1108 JW5158
b1109	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095
b1110	Uncharacterized protein YcfJ	ycfJ b1110 JW1096
b1111	HTH-type transcriptional repressor ComR (Copper outer membrane regulator)	comR ycfQ b1111 JW5159
b1112	Multiple stress resistance protein BhsA (Copper-induced outer membrane component)	bhsA comC ycfR b1112 JW1098
b1113	Probable L,D-transpeptidase YcfS (EC 2.-.-.-)	ycfS b1113 JW5820
b1114	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd b1114 JW1100
b1115	Inner membrane protein YcfT	ycfT b1115 JW1101
b1116	Lipoprotein-releasing system transmembrane protein LolC	lolC ycfU b1116 JW5161
b1117	Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-)	lolD ycfV b1117 JW5162
b1118	Lipoprotein-releasing system transmembrane protein LolE	lolE ycfW b1118 JW1104
b1119	N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase)	nagK ycfX b1119 JW1105
b1120	NAD-dependent protein deacylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog)	cobB ycfY b1120 JW1106
b1121	Inner membrane protein YcfZ	ycfZ b1121 JW1107
b1122	Inner membrane protein YmfA	ymfA b1122 JW5164
b1123	Spermidine/putrescine-binding periplasmic protein (SPBP)	potD b1123 JW1109
b1124	Spermidine/putrescine transport system permease protein PotC	potC b1124 JW1110
b1125	Spermidine/putrescine transport system permease protein PotB	potB b1125 JW1111
b1126	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	potA b1126 JW1112
b1127	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT b1127 JW1113
b1128	50S ribosomal protein L16 3-hydroxylase (EC 1.14.11.47) (Ribosomal oxygenase RoxA) (ROX)	roxA ycfD b1128 JW1114
b1129	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ b1129 JW1115
b1130	Transcriptional regulatory protein PhoP	phoP b1130 JW1116
b1131	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	purB b1131 JW1117
b1132	High frequency lysogenization protein HflD	hflD ycfC b1132 JW5165
b1133	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA asuE trmU ycfB b1133 JW1119
b1134	Phosphatase NudJ (EC 3.6.1.-)	nudJ ymfB b1134 JW1120
b1135	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)	rluE ymfC b1135 JW1121
b1136	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdA icdE b1136 JW1122
b1137	Uncharacterized protein YmfD	ymfD b1137 JW1123
b1138	Uncharacterized protein YmfE	ymfE b1138 JW5166
b1139	Cell death peptidase (Bacteriophage T4 late gene expression-blocking protein) (GpLit)	lit b1139 JW1125
b1140	Prophage integrase IntE (Int(Lambda)) (Prophage e14 integrase) (Prophage lambda integrase)	intE ycfI b1140 JW1126
b1141	Prophage excisionase-like protein (Excisionase-like protein from lambdoid prophage 14)	xisE vxis ymfG b1141 JW1127
b1142	Putative protein YmfH	ymfH b1142 JW1128
b1143	Uncharacterized protein YmfI	ymfI b1143 JW5168
b1144	Uncharacterized protein YmfJ	ymfJ b1144 JW1130
b1145	Prophage repressor CohE (Putative lambdoid prophage e14 repressor protein C2)	cohE ymfK b1145 JW1131
b1146	Prophage transcriptional regulatory protein (Putative lambdoid prophage e14 transcriptional regulatory protein)	croE ymfT b1146 JW5169
b1147	Uncharacterized protein YmfL	ymfL b1147 JW1133
b1148	Uncharacterized protein YmfM	ymfM b1148 JW1134
b4692	NA	NA
b1149	Protein YmfN	ymfN b1149 JW1135
b4693	NA	NA
b1150	Uncharacterized protein YmfR	ymfR b1150 JW1136
b1151	Protein BeeE	beeE ymfO b1151 JW1137
b1152	Putative protein JayE (Putative protein JayE from lambdoid prophage e14 region)	jayE ymfP b1152 JW5170
b1153	Uncharacterized protein YmfQ (Uncharacterized protein YmfQ in lambdoid prophage e14 region)	ymfQ b1153 JW1139
b1154	Uncharacterized protein StfP (Uncharacterized protein StfP from lambdoid prophage e14 region)	stfP ycfK b1154 JW1140
b1155	Uncharacterized protein YmfS	ymfS b1155 JW5171
b1156	Prophage tail fiber assembly protein homolog TfaE (Tail fiber assembly protein homolog from lambdoid prophage e14)	tfaE ycfA b1156 JW1142
b1157	Putative uncharacterized protein StfE (Side tail fiber protein homolog from lambdoid prophage e14)	stfE b1157 JW5172
b1158	Serine recombinase PinE (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinE) (DNA-invertase from lambdoid prophage e14) (Site-specific recombinase PinE)	pinE pin b1158 JW1144
b1159	Type IV methyl-directed restriction enzyme EcoKMcrA (EcoKMcrA) (EC 3.1.21.-) (5-methylcytosine-specific restriction enzyme A)	mcrA rglA b1159 JW1145
b4519	NA	NA
b1160	Anti-adapter protein IraM (Enhancing lycopene biosynthesis protein 1)	iraM elb1 elbA ycgW b1160 JW1147
b4738	Protein YmgK	ymgK b4738
b4739	Protein YmgL	ymgL b4739
b1161	Uncharacterized protein YcgX	ycgX b1161 JW1148
b1162	HTH-type transcriptional repressor BluR	bluR ycgE b1162 JW1149
b1163	Blue light- and temperature-regulated antirepressor BluF (Blrp)	bluF blrp ycgF b1163 JW1150
b1164	Probable two-component-system connector protein YcgZ	ycgZ b1164 JW1151
b1165	Probable two-component-system connector protein YmgA	ymgA b1165 JW1152
b1166	Probable two-component-system connector protein AriR	ariR ymgB b1166 JW1153
b1167	Uncharacterized protein YmgC	ymgC b1167 JW1154
b1168	Probable cyclic di-GMP phosphodiesterase PdeG (EC 3.1.4.52)	pdeG ycgG b1168 JW5174
b4520	Inner membrane protein YmgF	ymgF b4520 JW1156
b4491	NA	NA
b1171	Uncharacterized protein YmgD	ymgD b1171 JW5177
b1172	UPF0757 protein YmgG	ymgG b1172 JW5178
b4593	Uncharacterized protein YmgI	ymgI b4593
b4594	Uncharacterized protein YmgJ	ymgJ b4594
b4521	Putative uncharacterized protein YcgI	ycgI ymgH b4521 JW1162/JW5179 b1173
b1174	Cell division topological specificity factor	minE b1174 JW1163
b1175	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD b1175 JW1164
b1176	Septum site-determining protein MinC	minC b1176 JW1165
b1177	Uncharacterized protein YcgJ	ycgJ b1177 JW1166
b1178	Inhibitor of g-type lysozyme	pliG ycgK b1178 JW1167
b1179	Protein YcgL	ycgL b1179 JW1168
b1180	Uncharacterized protein YcgM	ycgM b1180 JW1169
b1181	UPF0260 protein YcgN	ycgN b1181 JW5180
b1182	Hemolysin E, chromosomal (Cytotoxin ClyA) (Hemolysis-inducing protein) (Latent pore-forming 34 kDa hemolysin) (Silent hemolysin SheA)	hlyE clyA hpr sheA ycgD b1182 JW5181
b1183	Protein UmuD (EC 3.4.21.-) (DNA polymerase V) (Pol V) [Cleaved into: Protein UmuD']	umuD b1183 JW1172
b1184	Protein UmuC (DNA polymerase V) (Pol V)	umuC b1184 JW1173
b1185	Disulfide bond formation protein B (Disulfide oxidoreductase)	dsbB roxB ycgA b1185 JW5182
b1186	Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB)	nhaB b1186 JW1175
b1187	Fatty acid metabolism regulator protein	fadR oleR thdB b1187 JW1176
b1188	Uncharacterized protein YcgB	ycgB b1188 JW1177
b1189	D-amino acid dehydrogenase (EC 1.4.99.-) (D-alanine dehydrogenase)	dadA dadR b1189 JW1178
b1190	Alanine racemase, catabolic (EC 5.1.1.1)	dadX alnB dadB b1190 JW1179
b4740	Protein YmgM	ymgM b4740
b1191	K(+)/H(+) antiporter NhaP2 (Potassium/proton antiporter NhaP2)	cvrA nhaP2 ycgO b1191 JW5184
b1192	Murein tetrapeptide carboxypeptidase (EC 3.4.17.13) (LD-carboxypeptidase A) (Muramoyltetrapeptide carboxypeptidase)	ldcA ycgQ b1192 JW1181
b1193	Endo-type membrane-bound lytic murein transglycosylase A (EC 4.2.2.n2) (Peptidoglycan lytic endotransglycosylase)	emtA mltE sltZ ycgP b1193 JW5821
b1194	Flagellar brake protein YcgR (Cyclic di-GMP binding protein YcgR)	ycgR b1194 JW1183
b1195	UPF0410 protein YmgE (Transglycosylase-associated gene protein)	ymgE tag b1195 JW1184
b1196	Uncharacterized protein YcgY	ycgY b1196 JW1185
b1197	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)	treA osmA b1197 JW1186
b1198	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM (EC 2.7.1.121) (Dihydroxyacetone kinase subunit M)	dhaM ycgC b1198 JW5185
b1199	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)	dhaL ycgS b1199 JW5186
b1200	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)	dhaK ycgT b1200 JW5187
b1201	PTS-dependent dihydroxyacetone kinase operon regulatory protein	dhaR ycgU b1201 JW5188
b1202	Uncharacterized protein YcgV	ycgV b1202 JW1193
b1203	Ribosome-binding ATPase YchF	ychF engD gtp1 b1203 JW1194
b1204	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth b1204 JW1195
b1205	Uncharacterized protein YchH	ychH b1205 JW1196
b1206	C4-dicarboxylic acid transporter DauA (Dicarboxylic acid uptake system A)	dauA ychM b1206 JW5189
b1207	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA b1207 JW1198
b1208	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE ipk ychB b1208 JW1199
b1209	Outer-membrane lipoprotein LolB	lolB hemM ychC b1209 JW1200
b1210	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA b1210 JW1201
b1211	Peptide chain release factor RF1 (RF-1)	prfA sueB uar b1211 JW1202
b1212	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.EcoKHemKP) (N5-glutamine methyltransferase PrmC) (Protein release factor methylation C) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC hemK b1212 JW1203
b1213	Protein YchQ (Protein SirB2)	ychQ sirB2 b1213 JW1204
b1214	UPF0162 protein YchA (Protein SirB1)	ychA sirB1 b1214 JW1205
b1215	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA b1215 JW1206
b4419	Small toxic polypeptide LdrA	ldrA b4419 JW5957
b4421	Small toxic polypeptide LdrB	ldrB b4421 JW5958
b4423	Small toxic polypeptide LdrC	ldrC b4423 JW5959
b1216	Sodium-potassium/proton antiporter ChaA (Na(+)/H(+) exchanger)	chaA b1216 JW1207
b1217	Putative cation transport regulator ChaB	chaB b1217 JW1208
b1218	Glutathione-specific gamma-glutamylcyclotransferase (Gamma-GCG) (EC 4.3.2.7) (Cation transport regulatory protein ChaC)	chaC b1218 JW1209
b1219	Protein YchN	ychN b1219 JW1210
b1220	Uncharacterized protein YchO	ychO ychP b1220 JW1211
b1221	Nitrate/nitrite response regulator protein NarL	narL frdR b1221 JW1212
b1222	Nitrate/nitrite sensor protein NarX (EC 2.7.13.3)	narX narR b1222 JW1213
b1223	Nitrate/nitrite antiporter NarK (Nitrate/nitrite exchanger) (Nitrite extrusion protein 1) (Nitrite facilitator 1)	narK b1223 JW1214
b1224	Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)	narG bisD narC b1224 JW1215
b1225	Respiratory nitrate reductase 1 beta chain (EC 1.7.5.1) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	narH b1225 JW1216
b1226	Nitrate reductase molybdenum cofactor assembly chaperone NarJ (Redox enzyme maturation protein NarJ)	narJ b1226 JW1217
b1227	Respiratory nitrate reductase 1 gamma chain (EC 1.7.5.1) (Cytochrome B-NR) (Nitrate reductase A subunit gamma) (Quinol-nitrate oxidoreductase subunit gamma)	narI chlI b1227 JW1218
b1228	Protein YchS	ychS b1228 JW5881
b1229	Protamine-like protein	tpr b1229 JW1219
b1232	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	purU tgs ychI b1232 JW1220
b1233	UPF0225 protein YchJ	ychJ b1233 JW1221
b1234	NTE family protein RssA	rssA ychK b1234 JW1222
b1235	Regulator of RpoS	rssB hnr sprE ychL b1235 JW1223
b1236	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-Glc PPase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)	galU ychD b1236 JW1224
b1237	DNA-binding protein H-NS (Heat-stable nucleoid-structuring protein) (Histone-like protein HLP-II) (Protein B1) (Protein H1)	hns bglY cur drdX hnsA msyA osmZ pilG topS b1237 JW1225
b1238	Thymidine kinase (EC 2.7.1.21)	tdk b1238 JW1226
b4573	Putative transposase InsZ	insZ ychG b4573 JW1227/JW5883 b1239/b1240
b1241	Bifunctional aldehyde-alcohol dehydrogenase AdhE (Alcohol dehydrogenase E) [Includes: Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Alcohol dehydrogenase (ADH) (EC 1.1.1.1)]	adhE ana b1241 JW1228
b1242	UPF0056 membrane protein YhcE	ychE b1242 JW1229
b4711	Transposase InsH for insertion sequence element IS5U	insH21 b4711
b1243	Periplasmic oligopeptide-binding protein	oppA b1243 JW1235
b1244	Oligopeptide transport system permease protein OppB	oppB b1244 JW1236
b1245	Oligopeptide transport system permease protein OppC	oppC b1245 JW1237
b1246	Oligopeptide transport ATP-binding protein OppD	oppD b1246 JW1238
b1247	Oligopeptide transport ATP-binding protein OppF	oppF b1247 JW1239
b1248	UPF0263 protein YciU	yciU b1248 JW1240
b1249	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)	clsA cls nov yciJ b1249 JW1241
b4595	Uncharacterized protein YciY	yciY b4595
b1250	Voltage-gated potassium channel Kch	kch b1250 JW1242
b1251	Protein YciI	yciI b1251 JW1243
b1252	Protein TonB	tonB exbA b1252 JW5195
b1253	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	yciA b1253 JW1245
b1254	Inner membrane-spanning protein YciB	yciB ispZ b1254 JW1246
b1255	UPF0259 membrane protein YciC	yciC b1255 JW1247
b1256	Outer membrane protein W	ompW yciD b1256 JW1248
b1257	Protein YciE	yciE b1257 JW1249
b1258	Protein YciF	yciF b1258 JW1250
b1259	Uncharacterized protein YciG	yciG b1259 JW1251
b1260	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA b1260 JW1252
b1261	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB b1261 JW1253
b1262	Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]	trpC trpF b1262 JW1254
b1263	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	trpGD trpD b1263 JW1255
b1264	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	trpE b1264 JW1256
b1265	trp operon leader peptide	trpL trpEE b1265 JW1257
b1266	5'-3' exoribonuclease Rnm (EC 3.1.13.-) (3',5'-nucleotide bisphosphate phosphatase) (EC 3.1.3.97) (RNase AM)	rnm trpH yciV b1266 JW1258
b1267	Uncharacterized protein YciO	yciO b1267 JW5196
b1268	Uncharacterized protein YciQ	yciQ yciP b1268 JW5197
b1269	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)	rluB yciL b1269 JW1261
b1270	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)	btuR cobA b1270 JW1262
b1271	Uncharacterized oxidoreductase YciK (EC 1.-.-.-)	yciK b1271 JW1263
b1272	Probable protease SohB (EC 3.4.21.-)	sohB b1272 JW1264
b1273	Protein YciN	yciN b1273 JW1265
b1274	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA supX b1274 JW1266
b1275	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB b1275 JW1267
b4522	Protein YmiA	ymiA b4522 JW1267.1
b4523	Uncharacterized protein YciX	yciX b4523 JW5198/JW5199
b4741	Protein YmiC	ymiC b4741
b1276	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	acnA acn b1276 JW1268
b1277	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA b1277 JW1269
b1278	Phosphatidylglycerophosphatase B (EC 3.1.3.27) (Diacylglycerol pyrophosphate phosphatase) (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4) (Undecaprenyl pyrophosphate phosphatase) (EC 3.6.1.27) (Undecaprenyl-diphosphatase)	pgpB b1278 JW1270
b1279	Lipopolysaccharide assembly protein A	lapA yciS b1279 JW1271
b1280	Lipopolysaccharide assembly protein B (Lipopolysaccharide regulatory protein)	lapB yciM b1280 JW1272
b1281	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF b1281 JW1273
b1282	Uncharacterized protein YciH	yciH b1282 JW1274
b1283	Osmotically-inducible lipoprotein B	osmB b1283 JW1275
b1284	Uncharacterized HTH-type transcriptional regulator YciT	yciT b1284 JW1276
b4596	UPF0509 protein YciZ	yciZ b4596 JW1277
b1285	Cyclic di-GMP phosphodiesterase PdeR (EC 3.1.4.52)	pdeR gmr yciR b1285 JW1278
b4672	Putative protein YmiB	ymiB b4672 JW1278.1
b1286	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	rnb b1286 JW1279
b1287	Uncharacterized protein YciW	yciW b1287 JW5200
b1288	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI envM b1288 JW1281
b1289	Uncharacterized protein YcjD	ycjD b1289 JW1282
b1290	Putrescine export system ATP-binding protein SapF	sapF b1290 JW1283
b1291	Putrescine export system ATP-binding protein SapD	sapD trkE b1291 JW1284
b1292	Putrescine export system permease protein SapC	sapC b1292 JW1285
b1293	Putrescine export system permease protein SapB	sapB b1293 JW1286
b1294	Probable ABC transporter periplasmic-binding protein SapA	sapA b1294 JW1287
b1295	Uncharacterized protein YmjA	ymjA b1295 JW1288
b1296	Putrescine importer PuuP	puuP ycjJ b1296 JW1289
b4742	Protein YmjE	ymjE b4742
b1297	Gamma-glutamylputrescine synthetase PuuA (Gamma-Glu-Put synthetase) (EC 6.3.1.11) (Glutamate--putrescine ligase)	puuA ycjK b1297 JW5201
b1298	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (Gamma-Glu-GABA hydrolase) (EC 3.5.1.94)	puuD ycjL b1298 JW1291
b1299	HTH-type transcriptional regulator PuuR	puuR ycjC b1299 JW1292
b1300	NADP/NAD-dependent aldehyde dehydrogenase PuuC (ALDH) (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)	puuC aldH b1300 JW1293
b1301	Gamma-glutamylputrescine oxidoreductase (Gamma-Glu-Put oxidase) (Gamma-glutamylputrescine oxidase) (EC 1.4.3.-)	puuB ordL ycjA b1301 JW1294
b1302	4-aminobutyrate aminotransferase PuuE (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase)	puuE goaG b1302 JW1295
b1303	Psp operon transcriptional activator (Phage shock protein F)	pspF ycjB b1303 JW1296
b1304	Phage shock protein A	pspA b1304 JW1297
b1305	Phage shock protein B	pspB b1305 JW1298
b1306	Phage shock protein C	pspC b1306 JW1299
b1307	Phage shock protein D	pspD b1307 JW1300
b1308	Thiosulfate sulfurtransferase PspE (TST) (EC 2.8.1.1) (Phage shock protein E)	pspE b1308 JW1301
b1309	Glucosylglycerate phosphorylase (GGa phosphorylase) (GGaP) (EC 2.4.1.352)	ycjM ggaP b1309 JW1302
b1310	Putative ABC transporter periplasmic-binding protein YcjN	ycjN b1310 JW1303
b1311	Inner membrane ABC transporter permease protein YcjO	ycjO b1311 JW1304
b1312	Inner membrane ABC transporter permease protein YcjP	ycjP b1312 JW1305
b1313	D-guloside 3-dehydrogenase (EC 1.1.1.-)	ycjQ b1313 JW1306
b1314	3-dehydro-D-guloside 4-epimerase (EC 5.1.3.-) (3-keto-D-guloside 4-epimerase)	ycjR b1314 JW5202
b1315	D-glucoside 3-dehydrogenase (EC 1.1.1.-)	ycjS b1315 JW1308
b1316	Kojibiose phosphorylase (EC 2.4.1.230)	ycjT b1316 JW1309
b1317	Beta-phosphoglucomutase (Beta-PGM) (EC 5.4.2.6)	ycjU pgmB b1317 JW1310
b1318	Putative uncharacterized ABC transporter ATP-binding protein YcjV	ycjV ymjB b4524 JW1311/JW5203 b1318
b4524	Putative uncharacterized ABC transporter ATP-binding protein YcjV	ycjV ymjB b4524 JW1311/JW5203 b1318
b1319	Outer membrane porin G (Outer membrane protein G)	ompG b1319 JW1312
b1320	Uncharacterized HTH-type transcriptional regulator YcjW	ycjW b1320 JW1313
b1321	Uncharacterized protein YcjX	ycjX b1321 JW1314
b1322	UPF0283 membrane protein YcjF	ycjF b1322 JW1315
b1323	HTH-type transcriptional regulatory protein TyrR	tyrR b1323 JW1316
b1324	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	tpx yzzJ b1324 JW1317
b1325	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	ycjG ycjH b1325 JW1318
b1326	Murein peptide amidase A (EC 3.4.17.-) (Gamma-D-Glu-Dap amidase) (Zinc metallocarboxypeptidase MpaA)	mpaA ycjI b1326 JW1319
b4525	Protein YmjC	ymjC b4525 JW5960
b4673	Protein YmjD	ymjD b4673 JW5960.1
b1327	Uncharacterized protein YcjY	ycjY b1327 JW5804
b1328	HTH-type transcriptional regulator PgrR (Regulator of PG recycling)	pgrR ycjZ b1328 JW1321
b1329	Periplasmic murein peptide-binding protein	mppA ynaH b1329 JW1322
b1330	Low conductance mechanosensitive channel YnaI	ynaI b1330 JW1323
b1331	Transposase InsH for insertion sequence element IS5F	insH4 b1331 JW1324
b1332	Uncharacterized protein YnaJ	ynaJ b1332 JW1326
b1333	Universal stress protein E	uspE ydaA b1333 JW1327
b1334	Fumarate and nitrate reduction regulatory protein	fnr nirR b1334 JW1328
b1335	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	ogt b1335 JW1329
