Entry	Gene Names	Protein names
P0AEI4	rimO yliG b0835 JW0819	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate(89)-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)
P0AEJ0	emrB b2686 JW2661	Multidrug export protein EmrB
P0AEJ2	entC b0593 JW0585	Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase)
P0AEJ4	envZ ompB perA tpo b3404 JW3367	Sensor histidine kinase EnvZ (EC 2.7.13.3) (Osmolarity sensor protein EnvZ)
P0AEJ6	eutB b2441 JW2434	Ethanolamine ammonia-lyase large subunit (EAL large subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase alpha subunit) (Ethanolamine ammonia-lyase heavy chain) (Ethanolamine deaminase large subunit)
P0AEK2	fabG b1093 JW1079	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)
P0AEK4	fabI envM b1288 JW1281	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)
P0AEK7	fdnI b1476 JW1472	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit (Anaerobic formate dehydrogenase cytochrome b556 subunit) (Formate dehydrogenase-N subunit gamma) (FDH-N subunit gamma)
P0AEL0	fdoI b3892 JW3863	Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)
P0AEM0	fkpB slpA yaaD b0028 JW0026	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase)
P0AEM6	fliA flaD rpoF b1922 JW1907	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28)
P0AEM9	tcyJ fliY yzzR b1920 JW1905	L-cystine-binding protein TcyJ (CBP) (Protein FliY) (Sulfate starvation-induced protein 7) (SSI7)
P0AEN1	fre fadI flrD fsrC ubiB b3844 JW3820	NAD(P)H-flavin reductase (EC 1.5.1.41) (FMN reductase) (Ferrisiderophore reductase C) (NAD(P)H:flavin oxidoreductase) (Riboflavin reductase [NAD(P)H])
P0AEN4	ftsL mraR yabD b0083 JW0081	Cell division protein FtsL
P0AEN8	fucU b2804 JW2775	L-fucose mutarotase (EC 5.1.3.29) (D-ribose pyranase) (EC 5.4.99.62) (Fucose 1-epimerase) (Type-2 mutarotase)
P0AEP3	galU ychD b1236 JW1224	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-Glc PPase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)
P0AEP7	gcl b0507 JW0495	Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase)
P0AEP9	glcD gox yghM b2979 JW2946	Glycolate oxidase subunit GlcD (EC 1.1.99.14) (Glycolate dehydrogenase subunit GlcD)
P0AER0	glpF b3927 JW3898	Glycerol uptake facilitator protein (Aquaglyceroporin) (Glycerol facilitator)
P0AER3	gltJ b0654 JW0649	Glutamate/aspartate import permease protein GltJ
P0AER5	gltK b0653 JW0648	Glutamate/aspartate import permease protein GltK
P0AES0	gss gsp b2988 JW2956	Bifunctional glutathionylspermidine synthetase/amidase (GspSA) [Includes: Glutathionylspermidine amidase (Gsp amidase) (EC 3.5.1.78) (Glutathionylspermidine amidohydrolase [spermidine-forming]); Glutathionylspermidine synthetase (Gsp synthetase) (EC 6.3.1.8) (Glutathione:spermidine ligase [ADP-forming]) (Gsp synthase)]
P0AES2	gudD ygcX b2787 JW2758	Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40) (D-glucarate dehydratase)
P0AES4	gyrA hisW nalA parD b2231 JW2225	DNA gyrase subunit A (EC 5.6.2.2)
P0AES6	gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625	DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB)
P0AES9	hdeA yhhC yhiB b3510 JW3478	Acid stress chaperone HdeA (10K-S protein)
P0AET2	hdeB yhhD yhiC b3509 JW5669	Acid stress chaperone HdeB (10K-L protein)
P0AET8	hdhA hsdH b1619 JW1611	7alpha-hydroxysteroid dehydrogenase (7alpha-HSDH) (EC 1.1.1.159) (NAD-dependent 7alpha-hydroxysteroid dehydrogenase)
P0AEU7	skp hlpA ompH b0178 JW0173	Chaperone protein Skp (DNA-binding 17 kDa protein) (Histone-like protein HLP-1) (Seventeen kilodalton protein)
P0AEV1	rssB hnr sprE ychL b1235 JW1223	Regulator of RpoS
P0AEV9	hycI b2717 JW2687	Hydrogenase 3 maturation protease (EC 3.4.23.51) (HycI protease)
P0AEW6	gsk b0477 JW0466	Guanosine-inosine kinase (EC 2.7.1.73)
P0AEW9	fruK fpk b2168 JW2155	1-phosphofructokinase (EC 2.7.1.56) (Fructose 1-phosphate kinase) (Fru1PK)
P0AEX7	livH b3457 JW3422	High-affinity branched-chain amino acid transport system permease protein LivH (LIV-I protein H)
P0AEX9	malE b4034 JW3994	Maltose/maltodextrin-binding periplasmic protein (MMBP) (Maltodextrin-binding protein) (Maltose-binding protein) (MBP)
P0AEY3	mazG b2781 JW2752	Nucleoside triphosphate pyrophosphohydrolase (NTP-PPase) (EC 3.6.1.8)
P0AEY5	mdaB mda66 b3028 JW2996	NADPH:quinone oxidoreductase MdaB (EC 1.6.5.10) (Modulator of drug activity B)
P0AEY8	mdfA cmlA cmr b0842 JW0826	Multidrug transporter MdfA (Chloramphenicol resistance pump Cmr)
P0AEZ1	metF b3941 JW3913	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)
P0AEZ3	minD b1175 JW1164	Septum site-determining protein MinD (Cell division inhibitor MinD)
P0AEZ7	mltD dniR yafG b0211 JW5018	Membrane-bound lytic murein transglycosylase D (EC 4.2.2.n1) (Murein hydrolase D) (Regulatory protein DniR)
P0AF06	motB b1889 JW1878	Motility protein B (Chemotaxis protein MotB)
P0AF12	mtnN mtn pfs yadA b0159 JW0155	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)
P0AF16	murJ mviN yceN b1069 JW1056	Lipid II flippase MurJ (Peptidoglycan biosynthesis protein MurJ)
P0AF18	nagA b0677 JW0663	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25)
P0AF24	nagD b0675 JW0661	Ribonucleotide monophosphatase NagD (EC 3.1.3.5)
P0AF28	narL frdR b1221 JW1212	Nitrate/nitrite response regulator protein NarL
P0AF32	narV b1465 JW1460	Respiratory nitrate reductase 2 gamma chain (EC 1.7.5.1)
P0AF52	ghxP yjcD b4064 JW4025	Guanine/hypoxanthine permease GhxP
P0AF61	ghoS arT yjdK b4128 JW4089	Endoribonuclease antitoxin GhoS (EC 3.1.-.-) (Antitoxin GhoS)
P0AF67	tsaE yjeE b4168 JW4126	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)
P0AF93	ridA yjgF b4243 JW5755	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)
P0AFA2	narX narR b1222 JW1213	Nitrate/nitrite sensor protein NarX (EC 2.7.13.3)
P0AFA7	nhaB b1186 JW1175	Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB)
P0AFB1	nlpI yhbM b3163 JW3132	Lipoprotein NlpI
P0AFB5	glnL glnR ntrB b3869 JW3840	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)
P0AFB8	glnG glnT ntrC b3868 JW3839	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)
P0AFC0	nudB ntpA b1865 JW1854	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)
P0AFC3	nuoA b2288 JW2283	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)
P0AFC7	nuoB b2287 JW5875	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B) (NUO2)
P0AFD1	nuoE b2285 JW2280	NADH-quinone oxidoreductase subunit E (EC 7.1.1.-) (NADH dehydrogenase I subunit E) (NDH-1 subunit E) (NUO5)
P0AFD4	nuoH b2282 JW2277	NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H) (NUO8)
P0AFD6	nuoI b2281 JW2276	NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)
P0AFE0	nuoJ b2280 JW2275	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)
P0AFE4	nuoK b2279 JW2274	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)
P0AFE8	nuoM b2277 JW2272	NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M) (NUO13)
P0AFF0	nuoN b2276 JW2271	NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)
P0AFF2	nupC cru b2393 JW2389	Nucleoside permease NupC (Nucleoside-transport system protein NupC)
P0AFF4	nupG b2964 JW2932	Nucleoside permease NupG (Nucleoside-transport system protein NupG)
P0AFF6	nusA b3169 JW3138	Transcription termination/antitermination protein NusA (N utilization substance protein A) (Transcription termination/antitermination L factor)
P0AFG0	nusG b3982 JW3945	Transcription termination/antitermination protein NusG
P0AFG3	sucA b0726 JW0715	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)
P0AFG6	sucB b0727 JW0716	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)
P0AFG8	aceE b0114 JW0110	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)
P0AFI0	oxc yfdU b2373 JW2370	Oxalyl-CoA decarboxylase (EC 4.1.1.8)
P0AFI2	parC b3019 JW2987	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)
P0AFI5	pbpG yohB b2134 JW5355	D-alanyl-D-alanine endopeptidase (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 7) (PBP-7)
P0AFI7	pdxH b1638 JW1630	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)
P0AFJ7	pitA pit b3493 JW3460	Low-affinity inorganic phosphate transporter PitA (Metal phosphate:H(+) symporter PitA)
P0AFL3	ppiA rot rotA b3363 JW3326	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)
P0AFL6	ppx b2502 JW2487	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)
P0AFM2	proX proU b2679 JW2654	Glycine betaine/proline betaine-binding periplasmic protein (GBBP)
P0AFM6	pspA b1304 JW1297	Phage shock protein A
P0AFP6	ybgI b0710 JW0700	GTP cyclohydrolase 1 type 2 homolog (Radiation resistance protein YbgI)
P0AFR2	dauA ychM b1206 JW5189	C4-dicarboxylic acid transporter DauA (Dicarboxylic acid uptake system A)
P0AFS3	folM ydgB b1606 JW1598	Dihydromonapterin reductase (H(2)-MPt reductase) (EC 1.5.1.50) (Dihydrofolate reductase) (DHFR) (EC 1.5.1.3)
P0AFS9	mepM yebA b1856 JW5304	Murein DD-endopeptidase MepM (EC 3.4.24.-) (Murein hydrolase MepM) (ORFU)
P0AFT2	tcyL yecS b1918 JW1903	L-cystine transport system permease protein TcyL
P0AFU4	glrR yfhA b2554 JW2538	Transcriptional regulatory protein GlrR
P0AFV4	mepS spr yeiV b2175 JW2163	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase (EC 3.4.-.-) (EC 3.4.17.13) (Lipoprotein Spr) (Murein hydrolase MepS)
P0AFW0	rfaH hlyT sfrB b3842 JW3818	Transcription antitermination protein RfaH
P0AFX4	rsd b3995 JW3959	Regulator of sigma D
P0AFX7	rseA mclA yfiJ b2572 JW2556	Anti-sigma-E factor RseA (Regulator of SigE) (Sigma-E anti-sigma factor RseA) (Sigma-E factor negative regulatory protein)
P0AFX9	rseB b2571 JW2555	Sigma-E factor regulatory protein RseB
P0AFY6	sbmA b0377 JW0368	Peptide antibiotic transporter SbmA
P0AFY8	seqA b0687 JW0674	Negative modulator of initiation of replication
P0AFZ3	sspB b3228 JW3197	Stringent starvation protein B (Adapter protein SspB) (Specificity-enhancing factor SspB)
P0AFZ5	sulA sfiA b0958 JW0941	Cell division inhibitor SulA
P0AG07	rpe dod yhfD b3386 JW3349	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)
P0AG11	umuD b1183 JW1172	Protein UmuD (EC 3.4.21.-) (DNA polymerase V) (Pol V) [Cleaved into: Protein UmuD']
P0AG16	purF b2312 JW2309	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)
P0AG18	purE b0523 JW0512	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)
P0AG20	relA b2784 JW2755	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)
P0AG24	spoT b3650 JW3625	Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]
P0AG30	rho nitA psuA rnsC sbaA tsu b3783 JW3756	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)
P0AG55	rplF b3305 JW3267	50S ribosomal protein L6 (Large ribosomal subunit protein uL6)
P0AG59	rpsN b3307 JW3269	30S ribosomal protein S14 (Small ribosomal subunit protein uS14)
P0AG63	rpsQ neaA b3311 JW3273	30S ribosomal protein S17 (Small ribosomal subunit protein uS17)
P0AG67	rpsA ssyF b0911 JW0894	30S ribosomal protein S1 (Bacteriophage Q beta RNA-directed RNA polymerase subunit I) (Small ribosomal subunit protein bS1)
P0AG74	rusA rus ybcP b0550 JW0538	Crossover junction endodeoxyribonuclease RusA (EC 3.1.21.10) (Holliday junction nuclease RusA) (Holliday junction resolvase)
P0AG82	pstS phoS b3728 JW3706	Phosphate-binding protein PstS (PBP)
P0AG86	secB b3609 JW3584	Protein-export protein SecB (Chaperone SecB)
P0AG90	secD b0408 JW0398	Protein translocase subunit SecD (Sec translocon accessory complex subunit SecD)
P0AG93	secF b0409 JW0399	Protein translocase subunit SecF (Sec translocon accessory complex subunit SecF)
P0AG96	secE prlG b3981 JW3944	Protein translocase subunit SecE
P0AG99	secG b3175 JW3142	Protein-export membrane protein SecG (P12) (Preprotein translocase band 1 subunit)
P0AGA2	secY prlA b3300 JW3262	Protein translocase subunit SecY
P0AGB0	serB b4388 JW4351	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)
P0AGB3	rpoH fam hin htpR b3461 JW3426	RNA polymerase sigma factor RpoH (Heat shock regulatory protein F33.4) (RNA polymerase sigma-32 factor)
P0AGB6	rpoE sigE b2573 JW2557	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)
P0AGC0	uhpT b3666 JW3641	Hexose-6-phosphate:phosphate antiporter
P0AGC3	slt sltY b4392 JW4355	Soluble lytic murein transglycosylase (EC 4.2.2.n1) (Exomuramidase) (Peptidoglycan lytic exotransglycosylase) (Slt70)
P0AGD1	sodC b1646 JW1638	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Bacteriocuprein)
P0AGD3	sodB b1656 JW1648	Superoxide dismutase [Fe] (EC 1.15.1.1)
P0AGD7	ffh b2610 JW5414	Signal recognition particle protein (Fifty-four homolog) (Ffh) (p48)
P0AGE0	ssb exrB lexC b4059 JW4020	Single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)
P0AGE4	sstT ygjU b3089 JW3060	Serine/threonine transporter SstT (Na(+)/serine-threonine symporter)
P0AGE6	chrR yieF b3713 JW3691	Quinone reductase (EC 1.6.5.2) (Chromate reductase) (CHRR) (EC 1.6.-.-) (NAD(P)H dehydrogenase (quinone))
P0AGE9	sucD b0729 JW0718	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
P0AGF2	csdE ygdK b2811 JW2782	Sulfur acceptor protein CsdE
P0AGF4	xylE b4031 JW3991	D-xylose-proton symporter (D-xylose transporter)
P0AGF6	tdcB b3117 JW3088	L-threonine dehydratase catabolic TdcB (EC 4.3.1.19) (L-serine dehydratase) (EC 4.3.1.17) (Threonine deaminase)
P0AGG0	thiL b0417 JW0407	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)
P0AGG2	tesB b0452 JW0442	Acyl-CoA thioesterase 2 (EC 3.1.2.20) (Thioesterase II) (TEII)
P0AGI1	rbsC b3750 JW3729	Ribose import permease protein RbsC
P0AGJ9	tyrS b1637 JW1629	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)
P0AGK1	ubiA cyr b4040 JW4000	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase) (PHB octaprenyl transferase)
P0AGM7	uraA b2497 JW2482	Uracil permease (Uracil transporter) (Uracil/H(+) symporter UraA)
P0C018	rplR b3304 JW3266	50S ribosomal protein L18 (Large ribosomal subunit protein uL18)
P0C037	ppnP yaiE b0391 JW0382	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)
P0C054	ibpA hslT htpN b3687 JW3664	Small heat shock protein IbpA (16 kDa heat shock protein A)
P0C058	ibpB hslS htpE b3686 JW3663	Small heat shock protein IbpB (16 kDa heat shock protein B)
P0C077	relE b1563 JW1555	mRNA interferase toxin RelE (EC 3.1.-.-) (Endoribonuclease RelE) (Toxin RelE)
P0C079	relB b1564 JW1556	Antitoxin RelB
P0C093	slmA ttk yicB b3641 JW5641	Nucleoid occlusion factor SlmA (Protein Ttk) (Synthetically lethal with a defective Min system protein A)
P0C0K3	srkA rdoA yihE b3859 JW3831	Stress response kinase A (EC 2.7.11.1) (Serine/threonine protein kinase YihE) (Serine/threonine-protein kinase SrkA)
P0C0L2	osmC b1482 JW1477	Peroxiredoxin OsmC (EC 1.11.1.-) (Osmotically-inducible protein C)
P0C0L7	proP b4111 JW4072	Proline/betaine transporter (Proline porter II) (PPII)
P0C0R7	rlmE ftsJ mrsF rrmJ b3179 JW3146	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (Cell division protein FtsJ) (rRNA (uridine-2'-O-)-methyltransferase)
P0C0S1	mscS yggB b2924 JW2891	Small-conductance mechanosensitive channel
P0C0T5	mepA b2328 JW2325	Penicillin-insensitive murein endopeptidase (EC 3.4.24.-) (D-alanyl-D-alanine-endopeptidase) (DD-endopeptidase)
P0C0V0	degP htrA ptd b0161 JW0157	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)
P0C7L2	paaJ paaE ydbW b1397 JW1392	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.174) (EC 2.3.1.223)
P0CE47	tufA b3339 JW3301	Elongation factor Tu 1 (EF-Tu 1) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)
P0CE48	tufB b3980 JW3943	Elongation factor Tu 2 (EF-Tu 2) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)
P0DM85	crfC yjdA b4109 JW4070	Clamp-binding protein CrfC (Clamp-binding sister replication fork colocalization protein)
P0DMC5	rcsC b2218 JW5917/JW5920	Sensor histidine kinase RcsC (EC 2.7.13.3) (Capsular synthesis regulator component C)
P0DMC7	rcsB b2217 JW2205	Transcriptional regulatory protein RcsB (Capsular synthesis regulator component B)
P0DMC9	rcsA b1951 JW1935	Transcriptional regulatory protein RcsA (Colanic acid capsular biosynthesis activation protein A)
P0DP90	ilvG	Acetolactate synthase isozyme 2 large subunit (AHAS-II) (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II large subunit)
P0DTT0	bipA o591 typA yihK b3871 JW5571	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA/TypA) (Ribosome assembly factor BipA) (Ribosome-dependent GTPase BipA) (Tyrosine phosphorylated protein A)
P0DTV7	speFL b4803	Leader peptide SpeFL (Arrest peptide SpeFL)
P10026	traM ECOK12F071	Relaxosome protein TraM
P10121	ftsY b3464 JW3429	Signal recognition particle receptor FtsY (SRP receptor)
P10378	entE b0594 JW0586	Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC 6.2.1.71) (Dihydroxybenzoic acid-activating enzyme) (Enterochelin synthase E)
P10408	secA azi pea prlD b0098 JW0096	Protein translocase subunit SecA (EC 7.4.2.8)
P10443	dnaE polC b0184 JW0179	DNA polymerase III subunit alpha (EC 2.7.7.7)
P10902	nadB nicB b2574 JW2558	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (L-aspartate:fumarate oxidoreductase) (EC 1.5.99.-) (Quinolinate synthetase B)
P10903	narK b1223 JW1214	Nitrate/nitrite antiporter NarK (Nitrate/nitrite exchanger) (Nitrite extrusion protein 1) (Nitrite facilitator 1)
P10907	ugpC b3450 JW3415	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)
P10908	ugpQ b3449 JW3414	Glycerophosphodiester phosphodiesterase, cytoplasmic (Glycerophosphoryl diester phosphodiesterase, cytoplasmic) (EC 3.1.4.46)
P11071	aceK b4016 JW3976	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)
P11349	narH b1225 JW1216	Respiratory nitrate reductase 1 beta chain (EC 1.7.5.1) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)
P11350	narI chlI b1227 JW1218	Respiratory nitrate reductase 1 gamma chain (EC 1.7.5.1) (Cytochrome B-NR) (Nitrate reductase A subunit gamma) (Quinol-nitrate oxidoreductase subunit gamma)
P11454	entF b0586 JW0578	Enterobactin synthase component F (EC 6.3.2.14) (Enterochelin synthase F) (Nonribosomal peptide synthetase EntF) [Includes: L-serine--[L-seryl-carrier protein] ligase (EC 6.2.1.72) (Serine-activating enzyme) (Seryl-AMP ligase)]
P11458	nadA nicA b0750 JW0733	Quinolinate synthase (EC 2.5.1.72) (Quinolinate synthetase A)
P11551	fucP b2801 JW2772	L-fucose-proton symporter (6-deoxy-L-galactose permease) (L-fucose permease) (L-fucose-H(+) symport protein)
P11557	damX yhfB b3388 JW3351	Cell division protein DamX
P11667	argO yggA b2923 JW2890	Arginine exporter protein ArgO
P11868	tdcD yhaA b3115 JW5806	Propionate kinase (EC 2.7.2.15)
P11880	murF mra b0086 JW0084	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)
P12008	aroC b2329 JW2326	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)
P12281	moeA bisB chlE narE b0827 JW0811	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)
P12282	moeB chlN b0826 JW0810	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)
P12295	ung b2580 JW2564	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
P12758	udp b3831 JW3808	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)
P12995	bioA b0774 JW0757	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)
P12996	bioB b0775 JW0758	Biotin synthase (EC 2.8.1.6)
P12998	bioF b0776 JW0759	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)
P13000	bioD1 b0778 JW0761	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)
P13001	bioH bioB b3412 JW3375	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)
P13009	metH b4019 JW3979	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12-dependent) (MS)
P13029	katG b3942 JW3914	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)
P13035	glpD glyD b3426 JW3389	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
P13036	fecA b4291 JW4251	Fe(3+) dicitrate transport protein FecA (Iron(III) dicitrate transport protein FecA)
P13039	fes b0585 JW0576	Iron(III) enterobactin esterase (EC 3.1.1.108) (Enterochelin esterase) (Ferric enterobactin esterase)
P13445	rpoS appR katF nur otsX sigS b2741 JW5437	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)
P13458	sbcC rmuA b0397 JW0387	Nuclease SbcCD subunit C
