	protein	gene
YP_004888821.1	Acyltransferase	lp_0856
YP_004888822.1	Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11) (X-Pro dipeptidyl-peptidase) (X-prolyl-dipeptidyl aminopeptidase) (X-PDAP)	pepX lp_0857
YP_004888823.1	Redox protein, regulator of disulfide bond formation	lp_0858
YP_004888824.1	Transposase	lp_0860
YP_004888825.1	Branched-chain amino acid permease	bcaP lp_0861
YP_004888826.1	AP2/ERF domain-containing protein	lp_0862
YP_004888827.1	Pyridoxal kinase (EC 2.7.1.35)	pdxK lp_0863
YP_004888828.1	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase)	lp_0864
YP_004888829.1	Transcriptional regulator	lp_0865
YP_004888830.1	Guanylate kinase (EC 2.7.4.8)	gmk2 lp_0866
YP_004888831.1	Metal uptake regulator	lp_0868
YP_004888832.1	Extracellular protein, Ser/Thr-rich	lp_0869
YP_004888833.1	Hypothetical membrane protein	lp_0871
YP_004888834.1	Phosphohydrolase (EC 3.1.3.18, EC 3.6.1.1)	gph1 lp_0872
YP_004888835.1	Aminotransferase (EC 2.6.1.-)	lp_0874
YP_004888836.1	SAM-dependent methyltransferase	lp_0875
YP_004888837.1	Glutamine ABC transporter, ATP-binding protein	glnQ2 lp_0878
YP_004888838.1	Glutamine ABC transporter, substrate binding protein	glnH1 lp_0881
YP_004888839.1	Glutamine ABC transporter, permease protein	glnM lp_0882
YP_004888840.1	Glutamine ABC transporter, permease protein	glnP1 lp_0883
YP_004888841.1	PTS system, EIIA component (EC 2.7.1.69)	pts11A lp_0884
YP_004888842.1	Transcription antiterminator, BlgB family	bglG1 lp_0885
YP_004888843.1	PTS system, beta-glucosides-specific EIIBC component (EC 2.7.1.69)	pts11BC lp_0886
YP_004888844.1	PTS-related protein	lp_0887
YP_004888845.1	Threonine transporter, APC family	lp_0888
YP_004888846.1	Transcription regulator, MarR family	lp_0889
YP_004888847.1	Probable membrane transporter protein	lp_0891
YP_004888848.1	Transcription regulator, MarR family	lp_0892
YP_004888849.1	Multidrug transport protein, major facilitator superfamily (MFS)	lp_0893
YP_004888850.1	Probable membrane transporter protein	lp_0894
YP_004888851.1	Transcription regulator, TetR family	lp_0895
YP_004888852.1	GTPase HflX (GTP-binding protein HflX)	hflX lp_0896
YP_004888853.1	Phosphohydrolase, MutT/nudix family	lp_0897
YP_004888854.1	Cation transporter, small multidrug resistance (SMR) family	smr lp_0898
YP_004888855.1	Hypothetical membrane protein	lp_0899
YP_004888856.1	Phosphoglycerate mutase family protein (EC 5.4.2.1)	pgm3 lp_0900
YP_004888857.1	Phosphoglycerate mutase family protein (EC 5.4.2.1)	pgm4 lp_0901
YP_004888858.1	Na(+)/H(+) antiporter	napA2 lp_0902
YP_004888859.1	Phosphohydrolase, MutT/nudix family	lp_0903
YP_004888860.1	Transcription antiterminator, BglB family	bglG2 lp_0904
YP_004888861.1	PTS system, beta-glucosides-specific EIIBCA component (EC 2.7.1.69)	pts12BCA lp_0905
YP_004888862.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg2 lp_0906
YP_004888863.1	Hypothetical membrane protein, DedA family	lp_0907
YP_004888864.1	DNA helicase (EC 3.6.4.12)	lp_0910
YP_004888865.1	Transposase	ISP2_2 lp_0911
YP_004888866.1	Enoyl-[acyl-carrier protein] reductase (NADH) (EC 1.3.1.9)	lp_0912
YP_004888867.1	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase)	coaA lp_0913
YP_004888868.1	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA lp_0914
YP_004888869.1	Phage protein	lp_0915
YP_004888870.1	Phage transcription regulator, Cro/CI family	lp_0917
YP_004888871.1	Superfamily I DNA/RNA helicase	lp_0918
YP_004888872.1	Membrane-bound protease, CAAX family	lp_0919
YP_004888873.1	Transcription regulator, MarR family	lp_0921
YP_004888874.1	Carbohydrate (Prephenate-like) transport protein, major facilitator superfamily (MFS)	lp_0922
YP_004888875.1	Cell surface protein, LPXTG-motif cell wall anchor	lp_0923
YP_004888876.1	Extracellular protein, MORN repeat family	lp_0924
YP_004888877.1	Acyltransferase	lp_0925
YP_004888878.1	Hypothetical membrane protein	lp_0926
YP_004888879.1	Hypothetical membrane protein	lp_0927
YP_004888880.1	DUF2273 domain-containing protein	lp_0928
YP_004888881.1	Alkaline shock protein	asp1 lp_0929
YP_004888882.1	Alkaline shock protein	asp2 lp_0930
YP_004888883.1	Fumarylacetoacetate hydrolase family protein (EC 4.1.1.-, EC 5.3.3.-)	lp_0931
YP_004888884.1	Extracellular lipoprotein	lp_0932
YP_004888885.1	PTS system, EIIA component	lp_0934
YP_004888886.1	Alpha-L-rhamnosidase	lp_0935
YP_004888887.1	Aminopeptidase (EC 3.4.11.-)	pepN lp_0937
YP_004888888.1	Type I restriction enzyme endonuclease subunit (R protein) (EC 3.1.21.3) (Type-1 restriction enzyme R protein)	hsdR lp_0938
YP_004888889.1	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	hsdM lp_0939
YP_004888890.1	Type I restriction-modification system,specificity subunit	hsdS1 lp_0940
YP_004888891.1	Phage integrase	lp_0941
YP_004888892.1	Type I restriction-modification system,specificity subunit	hsdS2 lp_0942
YP_004888893.1	Type I restriction-modification system,specificity subunit	hsdS3 lp_0943
YP_004888894.1	Histidine phosphatase superfamily protein	lp_0945
YP_004888895.1	Mucus-binding protein, LPXTG-motif cell wall anchor	lp_0946
YP_004888896.1	Metal homeostasis protein	lp_0947
YP_004888897.1	Kinase	lp_0948
YP_004888898.1	Transcription regulator, Cro/CI family	lp_0949
YP_004888899.1	Transcription regulator, Cro/CI family	lp_0950
YP_004888900.1	Transcription regulator, LysR family	lp_0951
YP_004888901.1	Fumarate reductase, flavoprotein subunit (EC 1.3.99.1)	lp_0952
YP_004888902.1	Transcription regulator, MarR family	lp_0954
YP_004888903.1	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 lp_0955
YP_004888904.1	Asparagine--tRNA ligase 1 (EC 6.1.1.22) (Asparaginyl-tRNA synthetase 1) (AsnRS 1)	asnS1 lp_0956
YP_004888905.1	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA lp_0957
YP_004888906.1	Dipeptidase (EC 3.4.-.-)	pepD3 lp_0959
YP_004888907.1	Exonuclease	lp_0960
YP_004888908.1	FERM domain-containing protein	lp_0960a
YP_004888909.1	Transposase	lp_0961
YP_004888910.1	DNA helicase (EC 3.6.4.12)	recQ1 lp_0962
YP_004888911.1	Pseudouridine synthase (EC 5.4.99.-)	rluE lp_0963
YP_004888912.1	Transcription regulator, ArsR family	lp_0965
YP_004888913.1	NADPH-dependent FMN reductase	lp_0966
YP_004888914.1	Transmembrane protein	lp_0967
YP_004888915.1	Hypothetical membrane protein, YibE/F family	lp_0968
YP_004888916.1	Hypothetical membrane protein, YibE/F family	lp_0969
YP_004888917.1	Acetyltransferase, GNAT family	lp_0970
YP_004888918.1	Phosphoglycerate mutase family protein (EC 5.4.2.1)	lp_0971
YP_004888919.1	Bacteriocin immunity protein	lp_0972
YP_004888920.1	Esterase (Short chain)	lp_0973
YP_004888921.1	Carbohydrate (Isoprimoverose-like)/proton symporter, GPH family	xylP2 lp_0975
YP_004888922.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE lp_0977
YP_004888923.1	Aspartokinase (EC 2.7.2.4)	thrA1 lp_0979
YP_004888924.1	Asparagine synthase (Glutamine-hydrolysing) (EC 6.3.5.4)	asnB1 lp_0980
YP_004888925.1	Branched-chain amino acid transport protein	brnE lp_0981
YP_004888926.1	Branched-chain amino acid transport protein	brnF lp_0982
YP_004888927.1	HTH merR-type domain-containing protein	lp_0984
YP_004888928.1	Extracellular lipoprotein, Asp-rich	lp_0988
YP_004888929.1	Hypothetical membrane protein	lp_0989
YP_004888930.1	DUF4811 domain-containing protein	lp_0990
YP_004888931.1	Multidrug transport protein, major facilitator superfamily (MFS)	lp_0991
YP_004888932.1	Transcription regulator, MerR family	lp_0992
YP_004888933.1	PhaC_N domain-containing protein	lp_0995
YP_004888934.1	Metal-dependent regulator	lp_0996
YP_004888935.1	Cold shock protein CspC	cspC lp_0997
YP_004888936.1	Hypothetical membrane protein, DUF1212 family	lp_0998
YP_004888937.1	Hypothetical membrane protein, DUF3815 family	lp_0999
YP_004888938.1	Transcriptional attenuator, cell envelope-related, LytR family	lp_1000
YP_004888939.1	Phosphatase, PAP2 family	lp_1001
YP_004888940.1	Lipase/esterase	lp_1002
YP_004888941.1	Acetyltransferase, GNAT family	lp_1003
YP_004888942.1	Transcription regulator, Rrf2 family	lp_1004
YP_004888943.1	Acetolactate synthase (EC 2.2.1.6)	als lp_1005
YP_004888944.1	Lysine transport protein	lysP lp_1008
YP_004888945.1	Serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	dacB lp_1010
YP_004888946.1	Deoxyadenosine kinase / deoxyguanosine kinase (EC 2.7.1.113, EC 2.7.1.76)	dgk1 lp_1011
YP_004888947.1	Serine--tRNA ligase 2 (EC 6.1.1.11) (Seryl-tRNA synthetase 2) (SerRS 2) (Seryl-tRNA(Ser/Sec) synthetase 2)	serS2 lp_1012
YP_004888948.1	Transcriptional regulator CtsR (Class three stress gene repressor)	ctsR lp_1018
YP_004888949.1	ATP-dependent Clp protease, ATP-binding subunit ClpC	clpC lp_1019
YP_004888950.1	Transcription regulator, TetR family	lp_1020
YP_004888951.1	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB lp_1021
YP_004888952.1	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC lp_1022
YP_004888953.1	Type 4 prepilin-like proteins leader peptide processing enzyme	lp_1023
YP_004888954.1	30S ribosomal protein S12	rpsL lp_1025
YP_004888955.1	30S ribosomal protein S7	rpsG lp_1026
YP_004888956.1	Elongation factor G (EF-G)	fusA lp_1027
YP_004888957.1	30S ribosomal protein S10	rpsJ lp_1032
YP_004888958.1	50S ribosomal protein L3	rplC lp_1033
YP_004888959.1	50S ribosomal protein L4	rplD lp_1034
YP_004888960.1	50S ribosomal protein L23	rplW lp_1035
YP_004888961.1	50S ribosomal protein L2	rplB lp_1036
YP_004888962.1	30S ribosomal protein S19	rpsS lp_1038
YP_004888963.1	50S ribosomal protein L22	rplV lp_1039
YP_004888964.1	30S ribosomal protein S3	rpsC lp_1040
YP_004888965.1	50S ribosomal protein L16	rplP lp_1041
YP_004888966.1	50S ribosomal protein L29	rpmC lp_1043
YP_004888967.1	30S ribosomal protein S17	rpsQ lp_1044
YP_004888968.1	50S ribosomal protein L14	rplN lp_1045
YP_004888969.1	50S ribosomal protein L24	rplX lp_1046
YP_004888970.1	50S ribosomal protein L5	rplE lp_1047
YP_004888971.1	30S ribosomal protein S14 type Z	rpsZ rpsN lp_1048
YP_004888972.1	30S ribosomal protein S8	rpsH lp_1050
YP_004888973.1	50S ribosomal protein L6	rplF lp_1051
YP_004888974.1	50S ribosomal protein L18	rplR lp_1052
YP_004888975.1	30S ribosomal protein S5	rpsE lp_1053
YP_004888976.1	50S ribosomal protein L30	rpmD lp_1054
YP_004888977.1	50S ribosomal protein L15	rplO lp_1055
YP_004888978.1	Protein translocase subunit SecY	secY lp_1056
YP_004888979.1	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk lp_1058
YP_004888980.1	Translation initiation factor IF-1	infA lp_1059
YP_004888981.1	50S ribosomal protein L36	rpmJ lp_1059.1 lp_1059A
YP_004888982.1	30S ribosomal protein S13	rpsM lp_1060
YP_004888983.1	30S ribosomal protein S11	rpsK lp_1061
YP_004888984.1	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA lp_1062
YP_004888985.1	50S ribosomal protein L17	rplQ lp_1063
YP_004888986.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004888987.1	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	hepB1 lp_1066
YP_004888988.1	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	hepA lp_1067
YP_004888989.1	Extracellular protein, DUF1312 famliy	lp_1068
YP_004888990.1	NADH dehydrogenase, membrane-anchored (EC 1.6.99.3)	ndh2 lp_1069
YP_004888991.1	Lipoprotein, FMN-binding protein	lp_1070
YP_004888992.1	FAD:protein FMN transferase (EC 2.7.1.180)	apbE1 lp_1072
YP_004888993.1	Energy-coupling factor transporter ATP-binding protein EcfA1 (ECF transporter A component EcfA1) (EC 7.-.-.-)	ecfA1 cbiO1 lp_1073
YP_004888994.1	Energy-coupling factor transporter ATP-binding protein EcfA2 (ECF transporter A component EcfA2) (EC 3.6.3.-)	ecfA2 cbiO2 lp_1074
YP_004888995.1	Energy-coupling factor transporter transmembrane protein EcfT (ECF transporter T component EcfT)	ecfT lp_1075
YP_004888996.1	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA lp_1076
YP_004888997.1	50S ribosomal protein L13	rplM lp_1077
YP_004888998.1	30S ribosomal protein S9	rpsI lp_1078
YP_004888999.1	Fatty acid-binding protein, DegV family	lp_1079
YP_004889000.1	TolB-like 6-blade propeller-like	lp_1081
YP_004889001.1	Malate / lactate dehydrogenase (EC 1.1.1.-)	lp_1082
YP_004889002.1	Transketolase (EC 2.2.1.1)	tkt2 lp_1083
YP_004889003.1	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroD1 aroE lp_1084
YP_004889004.1	Phospho-2-dehydro-3-deoxyheptonate aldolase / chorismate mutase (EC 2.5.1.54, EC 5.4.99.5)	aroA lp_1085
YP_004889005.1	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB lp_1086
YP_004889006.1	Tartrate transport protein	ttdP lp_1087
YP_004889007.1	FeS_assembly_P domain-containing protein	lp_1088
YP_004889008.1	L(+)-tartrate dehydratase, subunit B (EC 4.2.1.32)	ttdB lp_1089
YP_004889009.1	L(+)-tartrate dehydratase, subunit A (EC 4.2.1.32)	ttdA lp_1090
YP_004889010.1	Transcription regulator tartrate operon, AraC family	ttdR lp_1092
YP_004889011.1	Probable 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)	citG lp_1093
YP_004889012.1	Manganese ABC transporter, ATP-binding protein	mtsC lp_1095
YP_004889013.1	Manganese ABC transporter, permease protein	mtsB lp_1096
YP_004889014.1	Manganese/zinc ABC transporter, substrate binding protein	mtsA lp_1097
YP_004889015.1	Type I site-specific deoxyribonuclease	lp_1098
YP_004889016.1	L-lactate dehydrogenase 2 (L-LDH 2) (EC 1.1.1.27)	ldh2 ldhL2 lp_1101
YP_004889017.1	Citrate transport protein	citP lp_1102
YP_004889018.1	Citrate lyase regulator, SorC family	citR lp_1103
YP_004889019.1	Malic enzyme, NAD-dependent (EC 1.1.1.38)	mae lp_1105
YP_004889020.1	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)	citC lp_1106
YP_004889021.1	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)	citD lp_1107
YP_004889022.1	Citrate lyase subunit beta (EC 4.1.3.34) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit)	citE lp_1108
YP_004889023.1	Citrate lyase alpha chain (Citrase alpha chain) (EC 2.8.3.10) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit)	citF lp_1109
YP_004889024.1	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	fum fumC lp_1112
YP_004889025.1	Fumarate reductase, flavoprotein subunit (EC 1.3.99.1)	lp_1113
YP_004889026.1	Citrate lyase holo-[acyl-carrier protein] synthase (EC 2.7.7.61)	citX lp_1114
YP_004889027.1	Malolactic regulator, LysR family	mleR2 lp_1115
YP_004889028.1	Malolactic regulator, LysR family	mleR1 lp_1116
YP_004889029.1	Malolactic enzyme (MLE) (EC 4.1.1.101)	mleS lp_1118
YP_004889030.1	Malate transport protein	mleP2 lp_1119
YP_004889031.1	Amino acid transport protein	lp_1120
YP_004889032.1	Hypothetical membrane protein	lp_1121
YP_004889033.1	DUF2187 domain-containing protein	lp_1123
YP_004889034.1	Cell surface hydrolase, LPXTG-motif cell wall anchor	lp_1124
YP_004889035.1	Cytochrome D ubiquinol oxidase, subunit I (EC 1.10.3.-)	cydA lp_1125
YP_004889036.1	Cytochrome D ubiquinol oxidase, subunit II (EC 1.10.3.-)	cydB lp_1126
YP_004889037.1	Cytochrome D ABC transporter, ATP-binding and permease protein	cydC lp_1128
YP_004889038.1	Cytochrome D ABC transporter, ATP-binding and permease protein	cydD lp_1129
YP_004889041.1	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	hepB2 lp_1134
YP_004889042.1	1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.-)	lp_1135
YP_004889043.1	Oxidoreductase, NAD(P)-dependent (EC 1.-.-.-)	lp_1136
YP_004889044.1	Cell wall hydrolase/muramidase (EC 3.2.1.17)	acm1 lp_1138
YP_004889045.1	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt lp_1139
YP_004889046.1	UPF0316 protein lp_1140	lp_1140
YP_004889047.1	Phosphoribosylaminoimidazole carboxylase,ATPase subunit (EC 4.1.1.21)	purK2 lp_1141
YP_004889048.1	ATP-dependent DNA helicase (EC 3.6.4.12)	pcrA lp_1144
YP_004889049.1	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA lp_1145
YP_004889050.1	Lipoprotein, pheromone	lp_1146
YP_004889051.1	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC lp_1147
YP_004889052.1	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA lp_1148
YP_004889053.1	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB lp_1149
YP_004889054.1	Diacylglycerol kinase family protein	lp_1150
YP_004889055.1	Uncharacterized RNA methyltransferase lp_1151 (EC 2.1.1.-)	lp_1151
YP_004889056.1	Transcription regulator, TetR family	lp_1153
YP_004889057.1	Cation transporting P-type ATPase	lp_1154
YP_004889058.1	Permease IIC component	pts13C lp_1155
YP_004889059.1	Cell surface hydrolase, DUF915 family	lp_1156
YP_004889060.1	Transcription regulator, RpiR family	lp_1157
YP_004889061.1	Lysozyme (EC 3.2.1.17)	lys lp_1158
YP_004889062.1	Extracellular protein, membrane-bound	lp_1159
YP_004889063.1	Cold shock protein 1	csp cspP lp_1160
YP_004889064.1	Oxidoreductase, NAD-dependent (EC 1.-.-.-)	lp_1161
YP_004889065.1	ATP-dependent RNA helicase	rhe2 lp_1162
YP_004889066.1	Universal stress protein	lp_1163
YP_004889067.1	Permease IIC component	pts14C lp_1164
YP_004889068.1	Cell surface hydrolase, DUF915 family	lp_1165
YP_004889069.1	Secreted protein	lp_1165a
YP_004889070.1	Protein-export protein SecB	lp_1166
YP_004889071.1	Nucleic acid-binding protein	lp_1168
YP_004889072.1	Glutamate dehydrogenase	gdh lp_1169
YP_004889073.1	Serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	pbpX1 lp_1171
YP_004889074.1	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	lp_1173
YP_004889075.1	Ribonuclease BN family protein	lp_1174
YP_004889076.1	Glycerol uptake facilitator protein 4 (D/L-lactic acid transporter) (Lactic acid channel)	glpF4 lp_1175
YP_004889077.1	UDP-galactopyranose mutase (EC 5.4.99.9)	glf1 lp_1176
YP_004889078.1	Polysaccharide biosynthesis protein	cps1A lp_1177
YP_004889079.1	Glycosyltransferase, family 1 (GT1) (EC 2.4.1.-)	cps1B lp_1178
YP_004889080.1	Oligosaccharide transporter (Flippase)	cps1C lp_1179
YP_004889081.1	Glycosyltransferase (EC 2.4.1.-)	cps1D lp_1180
YP_004889082.1	Acyltransferase/acetyltransferase	cps1E lp_1181
YP_004889083.1	Capsular polysaccharide biosynthesis protein CpsC	cps1F lp_1182
YP_004889084.1	Glycosyltransferase, family 1 (GT1) (EC 2.4.1.-)	cps1G lp_1183
YP_004889085.1	Glycosyltransferase (Rhamnosyltransferase),family 2 (GT2) (EC 2.4.1.-)	cps1H lp_1184
YP_004889086.1	Polysaccharide polymerase	cps1I lp_1185
YP_004889087.1	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	rfbA lp_1186
YP_004889088.1	Glycosylhydrolase	lp_1187
YP_004889089.1	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	rfbC lp_1188
YP_004889090.1	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rfbB lp_1189
YP_004889091.1	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	rfbD lp_1190
YP_004889092.1	Transposase	lp_1191
YP_004889093.1	Transposase	lp_1192
YP_004889094.1	Transposase	lp_1193
YP_004889095.1	Transposase	lp_1194
YP_004889096.1	Transposase	lp_1195
YP_004889097.1	Integrase/recombinase	lp_1196
YP_004889098.1	Capsular polysaccharide biosynthesis protein CpsC	cps2A lp_1197
YP_004889099.1	Polysaccharide biosynthesis protein,regulator	cps2B lp_1198
YP_004889100.1	Tyrosine-protein phosphatase (EC 3.1.3.48)	cps2C lp_1199
YP_004889101.1	UDP N-acetyl glucosamine 4-epimerase, NAD dependent (EC 5.3.1.7)	cps2D lp_1200
YP_004889102.1	Priming glycosyltransferase, polyprenyl glycosylphosphotransferase	cps2E lp_1201
YP_004889103.1	Glycosyltransferase, family 1 (GT1) (EC 2.4.1.-)	cps2F lp_1202
YP_004889104.1	Exopolysaccharide phosphotransferase cps2G (EC 2.7.-.-) (Stealth protein cps2G)	cps2G lp_1203
YP_004889105.1	Polysaccharide polymerase	cps2H lp_1204
YP_004889106.1	Oligosaccharide transporter (Flippase)	cps2I lp_1205
YP_004889107.1	Glycosyltransferase, family 1 (GT1) (EC 2.4.1.-)	cps2J lp_1206
YP_004889108.1	Polysaccharide biosynthesis protein	cps2K lp_1207
YP_004889110.1	SWIM-type domain-containing protein	lp_1210
YP_004889111.1	FAT domain-containing protein	lp_1211
YP_004889113.1	Transposase	lp_1213
YP_004889114.1	Transposase	lp_1214
YP_004889115.1	Glycosyltransferase, family 2 (GT2) (EC 2.4.1.-)	cps3A lp_1215
YP_004889116.1	Glycosyltransferase, family 2 (GT2) (EC 2.4.1.-)	cps3B lp_1216
YP_004889117.1	UDP-galactopyranose mutase (EC 5.4.99.9)	glf2 lp_1219
YP_004889118.1	Polysaccharide biosynthesis protein	cps3D lp_1220
YP_004889119.1	Polysaccharide biosynthesis protein	cps3E lp_1221
YP_004889122.1	Polysaccharide biosynthesis protein	cps3H lp_1225
YP_004889123.1	O-acetyltransferase (EC 2.3.1.-)	cps3I lp_1226
YP_004889124.1	Glycosyltransferase (EC 2.4.1.-)	cps3J lp_1227
YP_004889125.1	Transcription regulator, AraC family	lp_1228
YP_004889126.1	Mannose-specific adhesin, LPXTG-motif cell wall anchor	msa lp_1229
YP_004889127.1	Transcription regulator, MarR family	lp_1230
YP_004889128.1	Oligosaccharide transporter (Flippase)	lp_1231
YP_004889129.1	Priming glycosyltransferase,undecaprenyl-phosphate beta-glucosephosphotransferase	lp_1233
YP_004889130.1	Transposase	lp_1234
YP_004889131.1	DUF2922 domain-containing protein	lp_1235
YP_004889132.1	Peroxidase	lp_1236
YP_004889133.1	Uncharacterized protein	lp_1237
YP_004889134.1	Sigma-70 family RNA polymerase sigma factor	lp_1238
YP_004889135.1	DUF4388 domain-containing protein	lp_1239
YP_004889136.1	Regulatory protein RecX	recX lp_1240
YP_004889137.1	UPF0374 protein lp_1241	lp_1241
YP_004889138.1	Extracellular protein, NlpC/P60 family,gamma-D-glutamate-meso-diaminopimelate muropeptidase (EC 3.4.19.11)	lp_1242
YP_004889139.1	Transcription regulator, Cro/CI family	lp_1243
YP_004889140.2	NA	NA
YP_004889141.1	L-2-hydroxyisocaproate dehydrogenase (EC 1.1.1.-)	hicD2 lp_1245
YP_004889142.1	Transport protein, DUF20 family	lp_1247
YP_004889143.1	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	tagD2 lp_1248
YP_004889144.1	Gluconate transport protein	gntP lp_1249
YP_004889145.1	Gluconokinase (EC 2.7.1.12)	gntK lp_1250
YP_004889146.1	6-phosphogluconate dehydrogenase (Decarboxylating) (EC 1.1.1.44)	lp_1251
YP_004889147.1	Glutathione reductase (EC 1.8.1.7)	gshR2 lp_1253
YP_004889148.1	Peptide chain release factor 3 (RF-3)	prfC lp_1255
YP_004889149.1	Extracellular protein	lp_1256
YP_004889150.1	SlpA domain-containing protein	lp_1257
YP_004889151.1	Transcription regulator, LysR family	lp_1258
YP_004889152.1	Probable membrane transporter protein	lp_1259
YP_004889153.1	Hypothetical membrane protein	lp_1260
YP_004889154.1	Oligopeptide ABC transporter, substrate binding protein	oppA lp_1261
YP_004889155.1	Oligopeptide ABC transporter, permease protein	oppB lp_1262
YP_004889156.1	Oligopeptide ABC transporter, permease protein	oppC lp_1263
YP_004889157.1	Oligopeptide ABC transporter, ATP-binding protein	oppD lp_1264
YP_004889158.1	Oligopeptide ABC transporter, ATP-binding protein	oppF lp_1265
YP_004889159.1	Transcription regulator, MarR family	lp_1267
YP_004889160.1	Integrase/recombinase	lp_1268
YP_004889161.1	ATP-dependent Clp protease, ATP-binding subunit ClpE	clpE lp_1269
YP_004889162.1	Phosphocarrier protein HPr	ptsH lp_1273
YP_004889163.1	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI lp_1274
YP_004889164.1	1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.-)	lp_1275
YP_004889165.1	Glucosyl-diacylglycerol 6-beta-glucosyltransferase (EC 2.4.1.-)	lp_1276
YP_004889166.1	Phosphatidylglycerol lysyltransferase (EC 2.3.2.3) (Lysylphosphatidylglycerol synthase)	mprF lp_1277
YP_004889167.1	Serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	dacA2 lp_1278
YP_004889168.1	Aminotransferase (EC 2.6.1.-)	araT1 lp_1280
YP_004889169.1	DUF1797 family protein	lp_1281
